circuit,n,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes
mimc,270,1,55.99,72.07,4.23,1104,274,128
mimc,270,2,91.32,126.21,3.98,2173,545,128
mimc,270,4,154.48,207.47,4.08,4343,1087,128
mimc,270,8,276.00,339.91,3.95,8683,2171,128
mimc,270,16,474.47,614.23,3.97,17363,4339,128
mimc,270,1,55.83,72.09,4.00,1104,274,128
mimc,270,2,90.14,125.26,3.97,2173,545,128
mimc,270,4,154.35,203.53,3.98,4343,1087,128
mimc,270,8,271.56,337.15,3.96,8683,2171,128
mimc,270,16,471.83,612.01,3.97,17363,4339,128
mimc,270,32,866.98,1071.62,3.97,34723,8675,128
mimc,270,64,1622.85,1888.05,3.99,69443,17347,128
hadamard,32,1,30.65,9.88,4.18,354,98,128
hadamard,32,2,39.52,10.26,4.08,547,162,128
hadamard,32,4,59.44,16.56,4.05,1058,290,128
hadamard,32,8,92.61,23.45,4.06,1954,546,128
hadamard,32,16,154.80,44.38,4.06,3746,1058,128
hadamard,32,1,29.12,9.40,4.05,354,98,128
hadamard,32,2,40.04,10.65,4.37,547,162,128
hadamard,32,4,61.95,16.60,4.06,1058,290,128
hadamard,32,8,93.96,23.38,4.05,1954,546,128
hadamard,32,16,156.27,44.29,4.05,3746,1058,128
hadamard,32,32,268.60,91.29,4.05,7330,2082,128
hadamard,32,64,460.24,185.00,4.05,14498,4130,128
hadamard,128,1,71.25,24.02,4.27,1410,386,128
hadamard,128,2,100.17,25.83,4.27,2179,642,128
hadamard,128,4,167.30,45.78,4.29,4226,1154,128
hadamard,128,8,279.43,76.40,4.28,7810,2178,128
hadamard,128,16,471.85,138.22,4.41,14978,4226,128
hadamard,128,1,71.35,23.16,4.30,1410,386,128
hadamard,128,2,100.12,26.82,4.45,2179,642,128
hadamard,128,4,171.71,45.85,4.28,4226,1154,128
hadamard,128,8,279.02,76.66,4.27,7810,2178,128
hadamard,128,16,472.22,133.79,4.42,14978,4226,128
hadamard,128,32,888.38,313.69,4.51,29314,8322,128
hadamard,128,64,1644.56,619.50,4.56,57986,16514,128
scalable,1024,1,238.92,296.41,3.97,4106,1028,128
scalable,1024,2,431.54,514.28,4.12,8205,2053,128
scalable,1024,4,763.96,911.49,3.97,16403,4103,128
scalable,1024,8,1406.63,1631.89,3.97,32799,8203,128
scalable,1024,16,2609.94,2931.66,3.98,65591,16403,128
scalable,1024,1,238.82,296.57,3.98,4106,1028,128
scalable,1024,2,433.04,512.21,3.98,8205,2053,128
scalable,1024,4,765.66,887.44,4.07,16403,4103,128
scalable,1024,8,1398.14,1633.09,3.97,32799,8203,128
scalable,1024,16,2711.95,2937.79,3.97,65591,16403,128
scalable,1024,32,4859.59,5444.75,4.19,131175,32803,128
scalable,1024,64,9851.20,10825.90,4.18,262343,65603,128
scalable,16384,1,2752.55,2983.99,3.98,65546,16388,128
scalable,16384,2,5000.53,5500.45,4.15,131085,32773,128
scalable,16384,4,9418.81,10308.25,4.24,262163,65543,128
scalable,16384,8,17704.13,19380.90,3.97,524319,131083,128
scalable,16384,16,32944.41,36900.50,4.11,1048631,262163,128
scalable,16384,1,2645.64,2945.30,3.98,65546,16388,128
scalable,16384,2,4856.84,5407.61,3.97,131085,32773,128
scalable,16384,4,9304.03,10056.43,3.99,262163,65543,128
scalable,16384,8,17131.18,18764.56,4.10,524319,131083,128
scalable,16384,16,31842.71,35820.17,3.98,1048631,262163,128
scalable,16384,32,61024.71,66530.64,4.09,2097255,524323,128
scalable,16384,64,116140.25,127456.60,3.97,4194503,1048643,128
