circuit,n,B,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes,peak_mem_mb
sensor_fusion,4,64,1,128.15,14.80,2.71,2922,1274,128,8.0
sensor_fusion,4,64,2,128.15,14.91,2.66,2922,1274,128,8.1
sensor_fusion,4,64,4,128.15,14.84,2.68,2922,1274,128,8.1
sensor_fusion,4,64,8,128.15,15.03,2.63,2922,1274,128,8.1
sensor_fusion,4,64,16,128.15,14.79,2.69,2922,1274,128,8.1
sensor_fusion,4,64,32,128.15,15.07,2.67,2922,1274,128,8.1
sensor_fusion,4,64,64,128.15,14.73,2.64,2922,1274,128,8.1
sensor_fusion,4,256,1,429.01,40.58,2.67,11754,5114,128,33.7
sensor_fusion,4,256,2,429.01,41.00,2.65,11754,5114,128,33.7
sensor_fusion,4,256,4,429.01,40.90,2.67,11754,5114,128,33.7
sensor_fusion,4,256,8,429.01,40.90,2.69,11754,5114,128,33.8
sensor_fusion,4,256,16,429.01,40.80,2.70,11754,5114,128,33.8
sensor_fusion,4,256,32,429.01,41.07,2.64,11754,5114,128,33.8
sensor_fusion,4,256,64,429.01,40.68,2.69,11754,5114,128,33.8
sensor_fusion,4,256,128,429.01,40.87,2.68,11754,5114,128,33.8
sensor_fusion,4,256,256,429.01,40.56,2.68,11754,5114,128,33.8
sensor_fusion,4,1024,1,1351.66,119.62,2.76,47082,20474,128,414.8
sensor_fusion,4,1024,2,1351.66,120.09,2.74,47082,20474,128,414.8
sensor_fusion,4,1024,4,1351.66,119.89,2.69,47082,20474,128,414.8
sensor_fusion,4,1024,8,1351.66,120.13,2.73,47082,20474,128,414.8
sensor_fusion,4,1024,16,1351.66,120.28,2.70,47082,20474,128,414.8
sensor_fusion,4,1024,32,1351.66,120.70,2.70,47082,20474,128,414.8
sensor_fusion,4,1024,64,1351.66,120.40,2.69,47082,20474,128,414.8
sensor_fusion,4,1024,128,1351.66,120.45,2.73,47082,20474,128,414.8
sensor_fusion,4,1024,256,1351.66,120.52,2.62,47082,20474,128,414.8
sensor_fusion,4,1024,512,1351.66,120.76,2.66,47082,20474,128,414.8
sensor_fusion,4,1024,1024,1351.66,120.95,2.70,47082,20474,128,414.8
sensor_fusion,6,64,1,168.83,17.77,2.76,4064,1782,128,8.7
sensor_fusion,6,64,2,168.83,17.68,2.74,4064,1782,128,8.8
sensor_fusion,6,64,4,168.83,17.91,2.69,4064,1782,128,8.8
sensor_fusion,6,64,8,168.83,17.85,2.76,4064,1782,128,8.8
sensor_fusion,6,64,16,168.83,17.90,2.72,4064,1782,128,8.8
sensor_fusion,6,64,32,168.83,17.72,2.74,4064,1782,128,8.8
sensor_fusion,6,64,64,168.83,17.59,2.72,4064,1782,128,8.8
sensor_fusion,6,256,1,515.87,48.32,2.71,16352,7158,128,44.5
sensor_fusion,6,256,2,515.87,48.84,2.64,16352,7158,128,44.6
sensor_fusion,6,256,4,515.87,48.50,2.74,16352,7158,128,44.6
sensor_fusion,6,256,8,515.87,49.01,2.69,16352,7158,128,44.6
sensor_fusion,6,256,16,515.87,49.40,2.72,16352,7158,128,44.6
sensor_fusion,6,256,32,515.87,48.85,2.68,16352,7158,128,44.6
sensor_fusion,6,256,64,515.87,49.08,2.71,16352,7158,128,44.6
sensor_fusion,6,256,128,515.87,49.10,2.72,16352,7158,128,44.7
sensor_fusion,6,256,256,515.87,48.82,2.76,16352,7158,128,44.7
sensor_fusion,6,1024,1,1801.04,146.92,2.73,65504,28662,128,569.4
sensor_fusion,6,1024,2,1801.04,147.94,2.71,65504,28662,128,569.4
sensor_fusion,6,1024,4,1801.04,147.78,2.70,65504,28662,128,569.4
sensor_fusion,6,1024,8,1801.04,148.93,2.79,65504,28662,128,569.5
sensor_fusion,6,1024,16,1801.04,149.73,2.73,65504,28662,128,569.5
sensor_fusion,6,1024,32,1801.04,151.48,2.70,65504,28662,128,569.5
sensor_fusion,6,1024,64,1801.04,150.35,2.77,65504,28662,128,569.5
sensor_fusion,6,1024,128,1801.04,151.21,2.70,65504,28662,128,569.6
sensor_fusion,6,1024,256,1801.04,149.98,2.75,65504,28662,128,569.7
sensor_fusion,6,1024,512,1801.04,150.06,2.75,65504,28662,128,569.8
