circuit,n,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes
sensor_fusion,4,1,9.79,3.45,2.68,41,13,128
sensor_fusion,4,2,11.74,4.78,2.67,76,23,128
sensor_fusion,4,4,16.66,6.61,2.67,151,43,128
sensor_fusion,4,8,23.32,9.64,2.67,287,83,128
sensor_fusion,4,16,36.03,15.89,2.70,575,163,128
sensor_fusion,4,32,57.20,22.02,2.68,1151,323,128
sensor_fusion,4,64,98.44,36.51,2.75,2303,643,128
sensor_fusion,4,1,9.78,3.42,2.69,41,13,128
sensor_fusion,4,2,12.11,4.88,2.63,76,23,128
sensor_fusion,4,4,16.82,6.59,2.65,151,43,128
sensor_fusion,4,8,23.32,9.67,2.71,287,83,128
sensor_fusion,4,16,36.47,16.31,2.80,575,163,128
sensor_fusion,4,32,58.27,22.20,2.66,1151,323,128
sensor_fusion,4,64,98.77,36.59,2.73,2303,643,128
sensor_fusion,4,128,168.83,65.38,2.70,4607,1283,128
sensor_fusion,4,256,298.80,101.87,2.64,9215,2563,128
sensor_fusion,4,1,9.82,3.51,2.73,41,13,128
sensor_fusion,4,2,12.33,4.86,2.68,76,23,128
sensor_fusion,4,4,16.84,6.72,2.70,151,43,128
sensor_fusion,4,8,23.99,9.78,2.69,287,83,128
sensor_fusion,4,16,37.30,16.18,2.73,575,163,128
sensor_fusion,4,32,58.06,22.11,2.75,1151,323,128
sensor_fusion,4,64,101.48,37.67,2.69,2303,643,128
sensor_fusion,4,128,171.80,65.94,2.70,4607,1283,128
sensor_fusion,4,256,303.22,102.85,2.72,9215,2563,128
sensor_fusion,4,512,532.24,182.15,2.67,18431,5123,128
sensor_fusion,4,1024,968.26,338.49,2.67,36863,10243,128
sensor_fusion,6,1,11.08,3.99,2.76,55,17,128
sensor_fusion,6,2,14.29,6.26,2.70,105,31,128
sensor_fusion,6,4,20.03,7.34,2.71,205,59,128
sensor_fusion,6,8,29.86,10.82,2.70,398,115,128
sensor_fusion,6,16,46.08,18.04,2.74,797,227,128
sensor_fusion,6,32,74.36,25.79,2.72,1597,451,128
sensor_fusion,6,64,126.66,43.79,2.72,3197,899,128
sensor_fusion,6,1,11.28,3.98,2.72,55,17,128
sensor_fusion,6,2,14.27,6.29,2.67,105,31,128
sensor_fusion,6,4,19.63,7.42,2.70,205,59,128
sensor_fusion,6,8,29.58,10.89,2.64,398,115,128
sensor_fusion,6,16,45.10,17.92,2.76,797,227,128
sensor_fusion,6,32,73.15,25.65,2.75,1597,451,128
sensor_fusion,6,64,127.15,43.55,2.77,3197,899,128
sensor_fusion,6,128,217.94,77.99,2.73,6397,1795,128
sensor_fusion,6,256,407.72,126.58,2.66,12797,3587,128
sensor_fusion,6,1,11.07,4.00,2.67,55,17,128
sensor_fusion,6,2,14.08,6.23,2.75,105,31,128
sensor_fusion,6,4,19.56,7.41,2.73,205,59,128
sensor_fusion,6,8,30.13,10.87,2.73,398,115,128
sensor_fusion,6,16,46.05,18.02,2.76,797,227,128
sensor_fusion,6,32,75.61,25.87,2.70,1597,451,128
sensor_fusion,6,64,132.70,44.01,2.76,3197,899,128
sensor_fusion,6,128,221.43,78.03,2.78,6397,1795,128
sensor_fusion,6,256,400.30,127.08,2.73,12797,3587,128
sensor_fusion,6,512,716.92,229.67,2.78,25597,7171,128
sensor_fusion,6,1024,1317.78,427.92,2.75,51197,14339,128
sensor_fusion,8,1,12.56,4.91,2.70,69,21,128
sensor_fusion,8,2,16.01,6.71,2.65,135,39,128
sensor_fusion,8,4,22.71,8.92,2.74,259,75,128
sensor_fusion,8,8,34.07,14.58,2.81,523,147,128
sensor_fusion,8,16,55.37,21.27,2.73,1019,291,128
sensor_fusion,8,32,91.11,35.20,2.78,2043,579,128
sensor_fusion,8,64,155.55,62.30,2.79,4091,1155,128
sensor_fusion,8,1,12.21,4.98,2.76,69,21,128
sensor_fusion,8,2,16.07,6.63,2.75,135,39,128
sensor_fusion,8,4,22.82,8.85,2.68,259,75,128
sensor_fusion,8,8,34.73,14.45,2.72,523,147,128
sensor_fusion,8,16,56.05,21.14,2.77,1019,291,128
sensor_fusion,8,32,91.46,35.25,2.76,2043,579,128
sensor_fusion,8,64,159.54,62.41,2.74,4091,1155,128
sensor_fusion,8,128,274.28,95.90,2.77,8187,2307,128
sensor_fusion,8,256,481.82,169.15,2.75,16379,4611,128
sensor_fusion,8,1,12.50,4.98,2.78,69,21,128
sensor_fusion,8,2,16.27,6.72,2.79,135,39,128
sensor_fusion,8,4,22.37,8.90,2.70,259,75,128
sensor_fusion,8,8,34.05,14.52,2.77,523,147,128
sensor_fusion,8,16,55.18,21.42,2.75,1019,291,128
sensor_fusion,8,32,91.56,35.38,2.74,2043,579,128
sensor_fusion,8,64,157.74,62.73,2.77,4091,1155,128
sensor_fusion,8,128,278.06,96.26,2.78,8187,2307,128
sensor_fusion,8,256,491.97,170.51,2.75,16379,4611,128
sensor_fusion,8,512,966.71,316.55,2.79,32763,9219,128
sensor_fusion,8,1024,1653.66,541.42,2.74,65531,18435,128
