circuit,n,B,step,uvc_setup_ms,uvc_prove_ms,uvc_verify_ms,uvc_crs_g1,uvc_crs_g2,uvc_proof_bytes,uvc_peak_mem_mb,g16_setup_ms,g16_prove_ms,g16_verify_ms,g16_crs_g1,g16_crs_g2,g16_proof_bytes,nova_setup_ms,nova_fold_ms,nova_total_fold_ms,nova_compress_ms,nova_verify_ms,nova_proof_bytes
sensor_fusion,4,64,1,128.15,14.80,2.71,2922,1274,128,8.0,9.79,3.45,2.68,41,13,128,740.12,13.92,13.92,563.95,20.56,11520
sensor_fusion,4,64,2,128.15,14.91,2.66,2922,1274,128,8.1,11.74,4.78,2.67,76,23,128,740.12,24.72,38.64,563.95,20.56,11520
sensor_fusion,4,64,4,128.15,14.84,2.68,2922,1274,128,8.1,16.66,6.61,2.67,151,43,128,740.12,31.66,101.38,563.95,20.56,11520
sensor_fusion,4,64,8,128.15,15.03,2.63,2922,1274,128,8.1,23.32,9.64,2.67,287,83,128,740.12,31.22,227.78,563.95,20.56,11520
sensor_fusion,4,64,16,128.15,14.79,2.69,2922,1274,128,8.1,36.03,15.89,2.70,575,163,128,740.12,46.18,525.69,563.95,20.56,11520
sensor_fusion,4,64,32,128.15,15.07,2.67,2922,1274,128,8.1,57.20,22.02,2.68,1151,323,128,740.12,31.63,1042.73,563.95,20.56,11520
sensor_fusion,4,64,64,128.15,14.73,2.64,2922,1274,128,8.1,98.44,36.51,2.75,2303,643,128,740.12,32.25,2148.56,563.95,20.56,11520
sensor_fusion,4,256,1,429.01,40.58,2.67,11754,5114,128,33.7,9.79,3.45,2.68,41,13,128,740.12,13.92,13.92,563.95,20.56,11520
sensor_fusion,4,256,2,429.01,41.00,2.65,11754,5114,128,33.7,11.74,4.78,2.67,76,23,128,740.12,24.72,38.64,563.95,20.56,11520
sensor_fusion,4,256,4,429.01,40.90,2.67,11754,5114,128,33.7,16.66,6.61,2.67,151,43,128,740.12,31.66,101.38,563.95,20.56,11520
sensor_fusion,4,256,8,429.01,40.90,2.69,11754,5114,128,33.8,23.32,9.64,2.67,287,83,128,740.12,31.22,227.78,563.95,20.56,11520
sensor_fusion,4,256,16,429.01,40.80,2.70,11754,5114,128,33.8,36.03,15.89,2.70,575,163,128,740.12,46.18,525.69,563.95,20.56,11520
sensor_fusion,4,256,32,429.01,41.07,2.64,11754,5114,128,33.8,57.20,22.02,2.68,1151,323,128,740.12,31.63,1042.73,563.95,20.56,11520
sensor_fusion,4,256,64,429.01,40.68,2.69,11754,5114,128,33.8,98.44,36.51,2.75,2303,643,128,740.12,32.25,2148.56,563.95,20.56,11520
