circuit,n,step,setup_ms,fold_ms,total_fold_ms,compress_ms,verify_ms,proof_bytes
sensor_fusion,4,1,776.93,14.08,14.08,584.06,23.60,11520
sensor_fusion,4,2,776.93,24.76,38.85,584.06,23.60,11520
sensor_fusion,4,4,776.93,31.75,101.07,584.06,23.60,11520
sensor_fusion,4,8,776.93,71.28,307.65,584.06,23.60,11520
sensor_fusion,4,16,776.93,31.93,616.14,584.06,23.60,11520
sensor_fusion,4,32,776.93,31.92,1159.98,584.06,23.60,11520
sensor_fusion,4,64,776.93,36.79,2236.40,584.06,23.60,11520
sensor_fusion,8,1,743.53,14.79,14.79,609.80,27.28,11520
sensor_fusion,8,2,743.53,24.97,39.76,609.80,27.28,11520
sensor_fusion,8,4,743.53,32.70,103.79,609.80,27.28,11520
sensor_fusion,8,8,743.53,31.64,231.80,609.80,27.28,11520
sensor_fusion,8,16,743.53,32.53,542.11,609.80,27.28,11520
sensor_fusion,8,32,743.53,32.31,1072.15,609.80,27.28,11520
sensor_fusion,8,64,743.53,32.89,2146.93,609.80,27.28,11520
sensor_fusion,16,1,754.45,20.98,20.98,568.88,21.47,11520
sensor_fusion,16,2,754.45,38.41,59.39,568.88,21.47,11520
sensor_fusion,16,4,754.45,31.80,122.70,568.88,21.47,11520
sensor_fusion,16,8,754.45,51.49,272.51,568.88,21.47,11520
sensor_fusion,16,16,754.45,37.07,596.43,568.88,21.47,11520
sensor_fusion,16,32,754.45,33.51,1141.83,568.88,21.47,11520
sensor_fusion,16,64,754.45,36.43,2328.38,568.88,21.47,11520
sensor_fusion,32,1,743.32,14.56,14.56,567.88,21.95,11520
sensor_fusion,32,2,743.32,24.61,39.16,567.88,21.95,11520
sensor_fusion,32,4,743.32,32.46,101.86,567.88,21.95,11520
sensor_fusion,32,8,743.32,31.58,228.91,567.88,21.95,11520
sensor_fusion,32,16,743.32,34.18,495.63,567.88,21.95,11520
sensor_fusion,32,32,743.32,65.52,1092.28,567.88,21.95,11520
sensor_fusion,32,64,743.32,32.11,2167.10,567.88,21.95,11520
sensor_fusion,64,1,746.11,14.18,14.18,557.67,21.76,11520
sensor_fusion,64,2,746.11,25.28,39.46,557.67,21.76,11520
sensor_fusion,64,4,746.11,31.77,102.23,557.67,21.76,11520
sensor_fusion,64,8,746.11,32.73,232.01,557.67,21.76,11520
sensor_fusion,64,16,746.11,33.47,491.23,557.67,21.76,11520
sensor_fusion,64,32,746.11,32.75,1009.71,557.67,21.76,11520
sensor_fusion,64,64,746.11,32.67,2053.87,557.67,21.76,11520
