circuit,n,B,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes,peak_mem_mb
sensor_fusion,4,16,1,70.43,8.05,2.71,714,314,128,4.0
sensor_fusion,4,16,2,70.43,8.48,2.74,714,314,128,4.1
sensor_fusion,4,16,4,70.43,8.34,2.73,714,314,128,4.1
sensor_fusion,4,16,8,70.43,8.32,2.74,714,314,128,4.1
sensor_fusion,4,16,16,70.43,8.04,2.75,714,314,128,4.1
sensor_fusion,4,64,1,141.15,15.01,2.79,2922,1274,128,7.9
sensor_fusion,4,64,2,141.15,15.23,2.73,2922,1274,128,8.0
sensor_fusion,4,64,4,141.15,15.13,2.71,2922,1274,128,8.0
sensor_fusion,4,64,8,141.15,15.32,2.73,2922,1274,128,8.0
sensor_fusion,4,64,16,141.15,15.24,2.71,2922,1274,128,8.0
sensor_fusion,4,64,32,141.15,15.24,2.72,2922,1274,128,8.0
sensor_fusion,4,64,64,141.15,15.02,2.67,2922,1274,128,8.0
sensor_fusion,8,16,1,65.51,13.24,2.70,1270,562,128,4.9
sensor_fusion,8,16,2,65.51,13.68,2.73,1270,562,128,5.0
sensor_fusion,8,16,4,65.51,13.72,2.73,1270,562,128,5.0
sensor_fusion,8,16,8,65.51,13.85,2.70,1270,562,128,5.0
sensor_fusion,8,16,16,65.51,12.27,2.70,1270,562,128,5.0
sensor_fusion,8,64,1,205.90,24.40,2.73,5206,2290,128,9.7
sensor_fusion,8,64,2,205.90,24.90,2.69,5206,2290,128,9.8
sensor_fusion,8,64,4,205.90,25.09,2.75,5206,2290,128,9.8
sensor_fusion,8,64,8,205.90,25.00,2.72,5206,2290,128,9.8
sensor_fusion,8,64,16,205.90,25.32,2.68,5206,2290,128,9.8
sensor_fusion,8,64,32,205.90,24.96,2.74,5206,2290,128,9.8
sensor_fusion,8,64,64,205.90,23.56,2.71,5206,2290,128,10.0
sensor_fusion,16,16,1,106.00,20.94,2.75,2414,1058,128,6.1
sensor_fusion,16,16,2,106.00,20.86,2.78,2414,1058,128,6.1
sensor_fusion,16,16,4,106.00,20.73,2.66,2414,1058,128,6.1
sensor_fusion,16,16,8,106.00,21.07,2.67,2414,1058,128,6.2
sensor_fusion,16,16,16,106.00,18.30,2.72,2414,1058,128,6.2
sensor_fusion,16,64,1,329.62,42.66,2.79,9774,4322,128,16.4
sensor_fusion,16,64,2,329.62,42.31,2.76,9774,4322,128,16.5
sensor_fusion,16,64,4,329.62,42.45,2.71,9774,4322,128,16.6
sensor_fusion,16,64,8,329.62,42.74,2.74,9774,4322,128,16.6
sensor_fusion,16,64,16,329.62,42.40,2.74,9774,4322,128,16.6
sensor_fusion,16,64,32,329.62,43.68,2.76,9774,4322,128,16.6
sensor_fusion,16,64,64,329.62,40.01,2.75,9774,4322,128,16.6
sensor_fusion,32,16,1,177.53,30.31,2.67,4638,2050,128,7.6
sensor_fusion,32,16,2,177.53,31.08,2.76,4638,2050,128,7.8
sensor_fusion,32,16,4,177.53,31.19,2.76,4638,2050,128,7.8
sensor_fusion,32,16,8,177.53,31.18,2.69,4638,2050,128,7.8
sensor_fusion,32,16,16,177.53,31.29,2.75,4638,2050,128,7.9
sensor_fusion,32,64,1,551.66,62.42,2.76,18910,8386,128,26.0
sensor_fusion,32,64,2,551.66,62.49,2.71,18910,8386,128,26.0
sensor_fusion,32,64,4,551.66,63.04,2.77,18910,8386,128,26.0
sensor_fusion,32,64,8,551.66,63.02,2.77,18910,8386,128,26.0
sensor_fusion,32,64,16,551.66,63.37,2.73,18910,8386,128,26.0
sensor_fusion,32,64,32,551.66,62.84,2.68,18910,8386,128,26.1
sensor_fusion,32,64,64,551.66,62.66,2.76,18910,8386,128,26.1
sensor_fusion,64,16,1,299.35,54.28,2.78,9150,4034,128,11.3
sensor_fusion,64,16,2,299.35,55.87,2.79,9150,4034,128,11.3
sensor_fusion,64,16,4,299.35,57.21,2.82,9150,4034,128,11.3
sensor_fusion,64,16,8,299.35,56.56,2.76,9150,4034,128,11.4
sensor_fusion,64,16,16,299.35,52.33,3.14,9150,4034,128,11.5
sensor_fusion,64,64,1,1026.78,113.61,2.73,37310,16514,128,39.9
sensor_fusion,64,64,2,1026.78,115.25,2.82,37310,16514,128,39.9
sensor_fusion,64,64,4,1026.78,115.44,2.74,37310,16514,128,39.9
sensor_fusion,64,64,8,1026.78,115.85,2.86,37310,16514,128,39.9
sensor_fusion,64,64,16,1026.78,116.49,2.74,37310,16514,128,39.9
sensor_fusion,64,64,32,1026.78,115.03,2.78,37310,16514,128,40.1
sensor_fusion,64,64,64,1026.78,111.04,2.77,37310,16514,128,40.1
