circuit,n,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes
mimc,270,1,47.25,48.26,2.71,1104,274,128
mimc,270,2,77.33,84.73,2.74,2173,545,128
mimc,270,4,129.60,137.77,2.73,4343,1087,128
mimc,270,8,237.40,227.79,2.70,8683,2171,128
mimc,270,16,413.36,416.12,2.70,17363,4339,128
mimc,270,1,47.88,48.32,2.70,1104,274,128
mimc,270,2,76.44,84.91,2.75,2173,545,128
mimc,270,4,130.36,138.00,2.71,4343,1087,128
mimc,270,8,238.52,227.53,2.70,8683,2171,128
mimc,270,16,410.24,413.31,2.68,17363,4339,128
mimc,270,32,746.82,726.84,2.73,34723,8675,128
mimc,270,64,1427.38,1274.85,2.66,69443,17347,128
mimc,1080,1,130.61,137.46,2.66,4334,1084,128
mimc,1080,2,235.88,227.41,2.69,8665,2165,128
mimc,1080,4,407.81,413.01,2.68,17327,4327,128
mimc,1080,8,746.77,719.91,2.69,34651,8651,128
mimc,1080,16,1390.16,1268.87,2.68,69299,17299,128
