circuit,n,B,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes,peak_mem_mb
mimc,270,16,1,555.67,128.05,2.72,21156,8405,128,19.0
mimc,270,16,2,555.67,128.67,2.73,21156,8405,128,20.2
mimc,270,16,4,555.67,128.14,2.66,21156,8405,128,20.2
mimc,270,16,8,555.67,128.43,2.64,21156,8405,128,20.2
mimc,270,16,16,555.67,128.81,2.71,21156,8405,128,20.3
mimc,270,64,1,1887.28,342.24,2.70,86244,34421,128,97.1
mimc,270,64,2,1887.28,343.18,2.73,86244,34421,128,97.1
mimc,270,64,4,1887.28,343.45,2.69,86244,34421,128,97.2
mimc,270,64,8,1887.28,343.93,2.71,86244,34421,128,97.2
mimc,270,64,16,1887.28,344.19,2.71,86244,34421,128,97.2
mimc,270,64,32,1887.28,344.18,2.71,86244,34421,128,97.2
mimc,270,64,64,1887.28,344.91,2.72,86244,34421,128,97.2
mimc,1080,16,1,1829.00,411.12,2.71,84432,33515,128,60.7
mimc,1080,16,2,1829.00,412.32,2.68,84432,33515,128,60.7
mimc,1080,16,4,1829.00,412.26,2.70,84432,33515,128,60.8
mimc,1080,16,8,1829.00,413.30,2.68,84432,33515,128,60.8
mimc,1080,16,16,1829.00,413.63,2.66,84432,33515,128,60.9
