circuit,n,B,step,uvc_setup_ms,uvc_prove_ms,uvc_verify_ms,uvc_crs_g1,uvc_crs_g2,uvc_proof_bytes,uvc_peak_mem_mb,g16_setup_ms,g16_prove_ms,g16_verify_ms,g16_crs_g1,g16_crs_g2,g16_proof_bytes,nova_setup_ms,nova_fold_ms,nova_total_fold_ms,nova_compress_ms,nova_verify_ms,nova_proof_bytes
sensor_fusion,4,64,1,223.68,22.72,4.01,2922,1274,128,8.0,13.52,5.38,4.24,41,13,128,1329.14,22.92,22.92,1094.09,36.95,11520
sensor_fusion,4,64,2,223.68,23.18,4.20,2922,1274,128,8.1,16.36,7.58,4.22,76,23,128,1329.14,39.78,62.70,1094.09,36.95,11520
sensor_fusion,4,64,4,223.68,23.24,4.01,2922,1274,128,8.1,21.12,10.51,4.28,151,43,128,1329.14,51.98,171.50,1094.09,36.95,11520
sensor_fusion,4,64,8,223.68,23.71,4.01,2922,1274,128,8.1,29.15,15.33,4.19,287,83,128,1329.14,55.37,387.87,1094.09,36.95,11520
sensor_fusion,4,64,16,223.68,23.17,4.17,2922,1274,128,8.1,44.72,24.21,4.03,575,163,128,1329.14,63.21,833.67,1094.09,36.95,11520
sensor_fusion,4,64,32,223.68,23.85,4.21,2922,1274,128,8.1,66.79,33.25,4.03,1151,323,128,1329.14,53.39,1816.87,1094.09,36.95,11520
sensor_fusion,4,64,64,223.68,23.31,4.24,2922,1274,128,8.1,124.89,56.80,4.28,2303,643,128,1329.14,64.35,3628.58,1094.09,36.95,11520
sensor_fusion,4,256,1,660.53,60.94,3.95,11754,5114,128,35.8,13.52,5.38,4.24,41,13,128,1329.14,22.92,22.92,1094.09,36.95,11520
sensor_fusion,4,256,2,660.53,61.43,3.98,11754,5114,128,35.9,16.36,7.58,4.22,76,23,128,1329.14,39.78,62.70,1094.09,36.95,11520
sensor_fusion,4,256,4,660.53,61.37,3.96,11754,5114,128,35.9,21.12,10.51,4.28,151,43,128,1329.14,51.98,171.50,1094.09,36.95,11520
sensor_fusion,4,256,8,660.53,61.59,3.96,11754,5114,128,35.9,29.15,15.33,4.19,287,83,128,1329.14,55.37,387.87,1094.09,36.95,11520
sensor_fusion,4,256,16,660.53,61.35,3.97,11754,5114,128,35.9,44.72,24.21,4.03,575,163,128,1329.14,63.21,833.67,1094.09,36.95,11520
sensor_fusion,4,256,32,660.53,61.57,3.96,11754,5114,128,35.9,66.79,33.25,4.03,1151,323,128,1329.14,53.39,1816.87,1094.09,36.95,11520
sensor_fusion,4,256,64,660.53,61.45,3.96,11754,5114,128,35.9,124.89,56.80,4.28,2303,643,128,1329.14,64.35,3628.58,1094.09,36.95,11520
sensor_fusion,4,256,128,660.53,61.41,3.95,11754,5114,128,35.9,188.45,100.03,4.17,4607,1283,128,1329.14,53.57,7150.51,1094.09,36.95,11520
