circuit,n,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes
sensor_fusion,4,1,13.52,5.38,4.24,41,13,128
sensor_fusion,4,2,16.36,7.58,4.22,76,23,128
sensor_fusion,4,4,21.12,10.51,4.28,151,43,128
sensor_fusion,4,8,29.15,15.33,4.19,287,83,128
sensor_fusion,4,16,44.72,24.21,4.03,575,163,128
sensor_fusion,4,32,66.79,33.25,4.03,1151,323,128
sensor_fusion,4,64,124.89,56.80,4.28,2303,643,128
sensor_fusion,4,1,13.01,5.14,3.99,41,13,128
sensor_fusion,4,2,15.53,7.29,4.12,76,23,128
sensor_fusion,4,4,20.65,10.49,4.22,151,43,128
sensor_fusion,4,8,27.99,14.46,3.97,287,83,128
sensor_fusion,4,16,41.30,23.87,3.98,575,163,128
sensor_fusion,4,32,65.47,33.03,4.00,1151,323,128
sensor_fusion,4,64,106.87,54.82,4.17,2303,643,128
sensor_fusion,4,128,188.45,100.03,4.17,4607,1283,128
sensor_fusion,4,256,335.70,155.73,3.98,9215,2563,128
sensor_fusion,4,1,13.22,5.11,4.00,41,13,128
sensor_fusion,4,2,15.56,7.27,4.00,76,23,128
sensor_fusion,4,4,20.05,9.98,3.99,151,43,128
sensor_fusion,4,8,27.25,14.46,4.00,287,83,128
sensor_fusion,4,16,41.32,23.86,3.99,575,163,128
sensor_fusion,4,32,65.12,33.13,4.00,1151,323,128
sensor_fusion,4,64,107.62,54.85,4.00,2303,643,128
sensor_fusion,4,128,182.52,98.05,4.13,4607,1283,128
sensor_fusion,4,256,328.42,152.73,3.99,9215,2563,128
sensor_fusion,4,512,569.74,270.99,4.00,18431,5123,128
sensor_fusion,4,1024,1028.93,504.01,4.00,36863,10243,128
sensor_fusion,6,1,14.01,5.84,3.99,55,17,128
sensor_fusion,6,2,17.64,9.25,4.23,105,31,128
sensor_fusion,6,4,24.97,11.31,4.02,205,59,128
sensor_fusion,6,8,33.29,16.06,4.00,398,115,128
sensor_fusion,6,16,50.55,26.60,4.00,797,227,128
sensor_fusion,6,32,81.52,38.17,4.00,1597,451,128
sensor_fusion,6,64,137.49,64.63,4.00,3197,899,128
sensor_fusion,6,1,14.23,5.80,4.00,55,17,128
sensor_fusion,6,2,17.47,9.15,4.00,105,31,128
sensor_fusion,6,4,23.56,10.94,3.99,205,59,128
sensor_fusion,6,8,33.11,16.09,4.00,398,115,128
sensor_fusion,6,16,50.18,26.52,4.00,797,227,128
sensor_fusion,6,32,80.88,38.71,4.00,1597,451,128
sensor_fusion,6,64,136.92,64.59,4.00,3197,899,128
sensor_fusion,6,128,235.87,116.19,4.00,6397,1795,128
sensor_fusion,6,256,413.92,188.16,3.99,12797,3587,128
sensor_fusion,6,1,14.03,5.85,4.00,55,17,128
sensor_fusion,6,2,17.47,9.20,4.01,105,31,128
sensor_fusion,6,4,23.58,10.99,4.00,205,59,128
sensor_fusion,6,8,33.23,16.19,3.99,398,115,128
sensor_fusion,6,16,50.31,26.63,4.08,797,227,128
sensor_fusion,6,32,85.70,38.62,4.02,1597,451,128
sensor_fusion,6,64,136.59,64.85,4.00,3197,899,128
sensor_fusion,6,128,235.82,118.45,4.00,6397,1795,128
sensor_fusion,6,256,422.06,189.10,4.02,12797,3587,128
sensor_fusion,6,512,743.39,339.98,4.01,25597,7171,128
sensor_fusion,6,1024,1368.56,634.73,4.00,51197,14339,128
sensor_fusion,8,1,15.46,7.29,3.99,69,21,128
sensor_fusion,8,2,19.32,9.79,4.05,135,39,128
sensor_fusion,8,4,27.86,13.60,4.09,259,75,128
sensor_fusion,8,8,39.24,21.38,4.10,523,147,128
sensor_fusion,8,16,59.79,31.45,4.00,1019,291,128
sensor_fusion,8,32,97.45,51.76,4.01,2043,579,128
sensor_fusion,8,64,165.13,92.31,4.00,4091,1155,128
sensor_fusion,8,1,15.36,7.35,4.16,69,21,128
sensor_fusion,8,2,20.32,10.01,4.01,135,39,128
sensor_fusion,8,4,26.73,13.01,3.99,259,75,128
sensor_fusion,8,8,39.00,21.34,3.98,523,147,128
sensor_fusion,8,16,60.39,31.46,4.00,1019,291,128
sensor_fusion,8,32,96.99,51.74,4.00,2043,579,128
sensor_fusion,8,64,164.68,92.34,4.00,4091,1155,128
sensor_fusion,8,128,290.25,141.66,4.00,8187,2307,128
sensor_fusion,8,256,510.14,249.43,4.00,16379,4611,128
sensor_fusion,8,1,15.40,7.30,4.00,69,21,128
sensor_fusion,8,2,19.38,9.79,4.00,135,39,128
sensor_fusion,8,4,26.37,13.04,4.03,259,75,128
sensor_fusion,8,8,41.21,22.11,4.00,523,147,128
sensor_fusion,8,16,59.92,31.37,4.05,1019,291,128
sensor_fusion,8,32,97.16,51.69,4.00,2043,579,128
sensor_fusion,8,64,164.92,92.51,4.00,4091,1155,128
sensor_fusion,8,128,289.85,141.68,4.00,8187,2307,128
sensor_fusion,8,256,511.17,249.41,4.00,16379,4611,128
sensor_fusion,8,512,928.46,463.91,4.00,32763,9219,128
sensor_fusion,8,1024,1732.51,793.71,4.02,65531,18435,128
