circuit,n,step,setup_ms,fold_ms,total_fold_ms,compress_ms,verify_ms,proof_bytes
sensor_fusion,4,1,1360.35,23.56,23.56,1082.74,36.15,11520
sensor_fusion,4,2,1360.35,39.65,63.21,1082.74,36.15,11520
sensor_fusion,4,4,1360.35,61.65,176.89,1082.74,36.15,11520
sensor_fusion,4,8,1360.35,54.34,425.47,1082.74,36.15,11520
sensor_fusion,4,16,1360.35,55.10,893.91,1082.74,36.15,11520
sensor_fusion,4,32,1360.35,53.76,1762.04,1082.74,36.15,11520
sensor_fusion,4,64,1360.35,57.47,3825.23,1082.74,36.15,11520
sensor_fusion,4,1,1335.23,25.86,25.86,1071.83,37.34,11520
sensor_fusion,4,2,1335.23,45.39,71.25,1071.83,37.34,11520
sensor_fusion,4,4,1335.23,58.26,188.80,1071.83,37.34,11520
sensor_fusion,4,8,1335.23,55.79,409.94,1071.83,37.34,11520
sensor_fusion,4,16,1335.23,56.72,863.24,1071.83,37.34,11520
sensor_fusion,4,32,1335.23,59.02,1836.74,1071.83,37.34,11520
sensor_fusion,4,64,1335.23,63.49,3773.21,1071.83,37.34,11520
sensor_fusion,4,128,1335.23,53.80,7296.00,1071.83,37.34,11520
sensor_fusion,4,256,1335.23,53.67,14214.90,1071.83,37.34,11520
sensor_fusion,4,1,1329.14,22.92,22.92,1094.09,36.95,11520
sensor_fusion,4,2,1329.14,39.78,62.70,1094.09,36.95,11520
sensor_fusion,4,4,1329.14,51.98,171.50,1094.09,36.95,11520
sensor_fusion,4,8,1329.14,55.37,387.87,1094.09,36.95,11520
sensor_fusion,4,16,1329.14,63.21,833.67,1094.09,36.95,11520
sensor_fusion,4,32,1329.14,53.39,1816.87,1094.09,36.95,11520
sensor_fusion,4,64,1329.14,64.35,3628.58,1094.09,36.95,11520
sensor_fusion,4,128,1329.14,53.57,7150.51,1094.09,36.95,11520
sensor_fusion,4,256,1329.14,53.71,14112.42,1094.09,36.95,11520
sensor_fusion,4,512,1329.14,54.64,28078.03,1094.09,36.95,11520
sensor_fusion,4,1024,1329.14,54.26,56083.71,1094.09,36.95,11520
sensor_fusion,6,1,1326.10,23.59,23.59,1146.20,37.04,11520
sensor_fusion,6,2,1326.10,42.97,66.56,1146.20,37.04,11520
sensor_fusion,6,4,1326.10,53.75,175.06,1146.20,37.04,11520
sensor_fusion,6,8,1326.10,54.59,390.86,1146.20,37.04,11520
sensor_fusion,6,16,1326.10,53.75,860.98,1146.20,37.04,11520
sensor_fusion,6,32,1326.10,71.37,1793.89,1146.20,37.04,11520
