circuit,n,step,setup_ms,fold_ms,total_fold_ms,compress_ms,verify_ms,proof_bytes
sensor_fusion,6,64,1326.10,55.68,3543.02,1146.20,37.04,11520
sensor_fusion,6,1,1343.80,23.15,23.15,1091.85,37.51,11520
sensor_fusion,6,2,1343.80,40.40,63.54,1091.85,37.51,11520
sensor_fusion,6,4,1343.80,57.81,173.54,1091.85,37.51,11520
sensor_fusion,6,8,1343.80,55.77,400.61,1091.85,37.51,11520
sensor_fusion,6,16,1343.80,92.47,870.45,1091.85,37.51,11520
sensor_fusion,6,32,1343.80,53.71,1765.21,1091.85,37.51,11520
sensor_fusion,6,64,1343.80,53.64,3550.57,1091.85,37.51,11520
sensor_fusion,6,128,1343.80,53.45,7037.16,1091.85,37.51,11520
sensor_fusion,6,256,1343.80,53.45,13962.55,1091.85,37.51,11520
sensor_fusion,6,1,1337.84,23.14,23.14,1080.51,36.12,11520
sensor_fusion,6,2,1337.84,39.44,62.58,1080.51,36.12,11520
sensor_fusion,6,4,1337.84,52.62,168.53,1080.51,36.12,11520
sensor_fusion,6,8,1337.84,56.50,385.68,1080.51,36.12,11520
sensor_fusion,6,16,1337.84,57.84,826.02,1080.51,36.12,11520
sensor_fusion,6,32,1337.84,58.99,1722.60,1080.51,36.12,11520
sensor_fusion,6,64,1337.84,56.53,3518.24,1080.51,36.12,11520
sensor_fusion,6,128,1337.84,53.66,7021.76,1080.51,36.12,11520
sensor_fusion,6,256,1337.84,54.22,13975.49,1080.51,36.12,11520
sensor_fusion,6,512,1337.84,53.72,27876.72,1080.51,36.12,11520
sensor_fusion,6,1024,1337.84,53.79,55823.30,1080.51,36.12,11520
sensor_fusion,8,1,1315.86,26.16,26.16,1145.19,36.96,11520
sensor_fusion,8,2,1315.86,64.50,90.66,1145.19,36.96,11520
sensor_fusion,8,4,1315.86,53.52,211.07,1145.19,36.96,11520
sensor_fusion,8,8,1315.86,52.80,447.94,1145.19,36.96,11520
sensor_fusion,8,16,1315.86,53.88,888.98,1145.19,36.96,11520
sensor_fusion,8,32,1315.86,53.73,1759.98,1145.19,36.96,11520
sensor_fusion,8,64,1315.86,54.04,3542.52,1145.19,36.96,11520
sensor_fusion,8,1,1321.38,23.50,23.50,1056.57,36.32,11520
sensor_fusion,8,2,1321.38,41.54,65.05,1056.57,36.32,11520
sensor_fusion,8,4,1321.38,52.80,185.51,1056.57,36.32,11520
sensor_fusion,8,8,1321.38,54.44,402.32,1056.57,36.32,11520
sensor_fusion,8,16,1321.38,54.95,839.98,1056.57,36.32,11520
sensor_fusion,8,32,1321.38,53.64,1748.80,1056.57,36.32,11520
sensor_fusion,8,64,1321.38,78.92,3563.28,1056.57,36.32,11520
sensor_fusion,8,128,1321.38,53.02,7075.07,1056.57,36.32,11520
sensor_fusion,8,256,1321.38,53.89,13986.05,1056.57,36.32,11520
sensor_fusion,8,1,1352.15,23.42,23.42,1126.04,37.93,11520
sensor_fusion,8,2,1352.15,40.37,63.79,1126.04,37.93,11520
sensor_fusion,8,4,1352.15,52.38,167.90,1126.04,37.93,11520
sensor_fusion,8,8,1352.15,54.03,393.88,1126.04,37.93,11520
sensor_fusion,8,16,1352.15,60.19,876.28,1126.04,37.93,11520
sensor_fusion,8,32,1352.15,54.28,1739.22,1126.04,37.93,11520
sensor_fusion,8,64,1352.15,57.05,3587.59,1126.04,37.93,11520
sensor_fusion,8,128,1352.15,53.27,7109.16,1126.04,37.93,11520
sensor_fusion,8,256,1352.15,53.81,14025.49,1126.04,37.93,11520
sensor_fusion,8,512,1352.15,53.84,27856.70,1126.04,37.93,11520
sensor_fusion,8,1024,1352.15,53.90,55646.16,1126.04,37.93,11520
