circuit,n,step,setup_ms,fold_ms,total_fold_ms,compress_ms,verify_ms,proof_bytes
mimc,270,1,1356.34,24.48,24.48,1073.85,37.34,11520
mimc,270,2,1356.34,42.13,66.61,1073.85,37.34,11520
mimc,270,4,1356.34,56.65,177.09,1073.85,37.34,11520
mimc,270,8,1356.34,54.72,396.07,1073.85,37.34,11520
mimc,270,16,1356.34,54.52,836.64,1073.85,37.34,11520
mimc,270,32,1356.34,60.28,1774.57,1073.85,37.34,11520
mimc,270,64,1356.34,54.83,3607.28,1073.85,37.34,11520
mimc,1080,1,1335.54,24.93,24.93,1103.68,35.91,11520
mimc,1080,2,1335.54,43.11,68.04,1103.68,35.91,11520
mimc,1080,4,1335.54,57.76,183.57,1103.68,35.91,11520
mimc,1080,8,1335.54,59.48,416.59,1103.68,35.91,11520
mimc,1080,16,1335.54,57.06,877.53,1103.68,35.91,11520
mimc,1080,32,1335.54,78.74,1883.75,1103.68,35.91,11520
mimc,1080,64,1335.54,56.97,3763.96,1103.68,35.91,11520
mimc,4320,1,1358.14,31.26,31.26,1118.81,37.34,11520
mimc,4320,2,1358.14,52.18,83.44,1118.81,37.34,11520
mimc,4320,4,1358.14,66.05,213.41,1118.81,37.34,11520
mimc,4320,8,1358.14,67.46,487.61,1118.81,37.34,11520
mimc,4320,16,1358.14,66.26,1026.92,1118.81,37.34,11520
mimc,4320,32,1358.14,69.04,2140.30,1118.81,37.34,11520
mimc,4320,64,1358.14,68.00,4408.96,1118.81,37.34,11520
hadamard,32,1,1382.07,31.42,31.42,1099.68,36.86,12512
hadamard,32,2,1382.07,53.99,85.41,1099.68,36.86,12512
hadamard,32,4,1382.07,66.63,217.91,1099.68,36.86,12512
hadamard,32,8,1382.07,68.80,491.67,1099.68,36.86,12512
hadamard,32,16,1382.07,68.24,1041.39,1099.68,36.86,12512
hadamard,32,32,1382.07,67.75,2169.35,1099.68,36.86,12512
hadamard,32,64,1382.07,68.40,4454.62,1099.68,36.86,12512
hadamard,128,1,1920.40,54.61,54.61,1228.78,43.47,15960
hadamard,128,2,1920.40,92.19,146.80,1228.78,43.47,15960
hadamard,128,4,1920.40,104.20,356.26,1228.78,43.47,15960
hadamard,128,8,1920.40,107.61,791.06,1228.78,43.47,15960
hadamard,128,16,1920.40,105.47,1647.83,1228.78,43.47,15960
hadamard,128,32,1920.40,105.62,3346.70,1228.78,43.47,15960
hadamard,128,64,1920.40,105.46,6806.97,1228.78,43.47,15960
hadamard,512,1,2240.85,126.78,126.78,1767.92,63.29,29000
hadamard,512,2,2240.85,233.06,359.84,1767.92,63.29,29000
hadamard,512,4,2240.85,243.50,846.75,1767.92,63.29,29000
hadamard,512,8,2240.85,248.82,1837.01,1767.92,63.29,29000
hadamard,512,16,2240.85,247.12,3836.74,1767.92,63.29,29000
hadamard,512,32,2240.85,247.53,7792.56,1767.92,63.29,29000
hadamard,512,64,2240.85,247.98,15713.13,1767.92,63.29,29000
scalable,1024,1,1339.38,36.01,36.01,1141.00,37.33,11520
scalable,1024,2,1339.38,43.15,79.16,1141.00,37.33,11520
scalable,1024,4,1339.38,66.98,199.84,1141.00,37.33,11520
scalable,1024,8,1339.38,56.39,427.69,1141.00,37.33,11520
scalable,1024,16,1339.38,57.71,902.91,1141.00,37.33,11520
scalable,1024,32,1339.38,56.67,1826.53,1141.00,37.33,11520
scalable,1024,64,1339.38,56.25,3718.52,1141.00,37.33,11520
scalable,8192,1,1717.86,35.60,35.60,1141.90,36.00,11896
scalable,8192,2,1717.86,62.04,97.64,1141.90,36.00,11896
scalable,8192,4,1717.86,75.59,247.57,1141.90,36.00,11896
scalable,8192,8,1717.86,76.38,558.92,1141.90,36.00,11896
scalable,8192,16,1717.86,93.39,1219.21,1141.90,36.00,11896
scalable,8192,32,1717.86,76.94,2441.02,1141.90,36.00,11896
scalable,8192,64,1717.86,75.80,4964.71,1141.90,36.00,11896
scalable,65536,1,1447.33,107.14,107.14,1671.27,38.84,12648
scalable,65536,2,1447.33,203.16,310.30,1671.27,38.84,12648
scalable,65536,4,1447.33,215.88,742.08,1671.27,38.84,12648
scalable,65536,8,1447.33,218.38,1623.87,1671.27,38.84,12648
scalable,65536,16,1447.33,218.56,3368.16,1671.27,38.84,12648
scalable,65536,32,1447.33,217.95,6945.29,1671.27,38.84,12648
scalable,65536,64,1447.33,217.22,13901.41,1671.27,38.84,12648
