circuit,n,B,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes,peak_mem_mb
mimc,270,16,1,788.68,192.03,4.09,21156,8405,128,19.2
mimc,270,16,2,788.68,193.02,4.10,21156,8405,128,19.2
mimc,270,16,4,788.68,191.10,4.08,21156,8405,128,19.3
mimc,270,16,8,788.68,191.72,4.07,21156,8405,128,19.3
mimc,270,16,16,788.68,191.38,4.15,21156,8405,128,19.3
mimc,270,64,1,2812.37,519.53,4.08,86244,34421,128,96.2
mimc,270,64,2,2812.37,516.58,4.13,86244,34421,128,96.3
mimc,270,64,4,2812.37,522.41,4.14,86244,34421,128,96.3
mimc,270,64,8,2812.37,518.01,4.19,86244,34421,128,96.3
mimc,270,64,16,2812.37,518.42,4.21,86244,34421,128,96.3
mimc,270,64,32,2812.37,519.28,4.13,86244,34421,128,96.3
mimc,270,64,64,2812.37,521.39,4.08,86244,34421,128,96.4
mimc,1080,16,1,2844.40,623.62,4.11,84432,33515,128,48.4
mimc,1080,16,2,2844.40,620.80,4.08,84432,33515,128,50.0
mimc,1080,16,4,2844.40,627.67,4.10,84432,33515,128,50.0
mimc,1080,16,8,2844.40,626.03,4.07,84432,33515,128,50.0
mimc,1080,16,16,2844.40,617.99,4.21,84432,33515,128,50.0
mimc,1080,64,1,10323.61,1854.28,4.08,344208,137291,128,367.9
mimc,1080,64,2,10323.61,1862.68,4.09,344208,137291,128,370.0
mimc,1080,64,4,10323.61,1883.85,4.17,344208,137291,128,370.2
mimc,1080,64,8,10323.61,1875.94,4.25,344208,137291,128,370.2
mimc,1080,64,16,10323.61,1869.45,4.12,344208,137291,128,370.2
mimc,1080,64,32,10323.61,1889.91,4.23,344208,137291,128,370.2
mimc,1080,64,64,10323.61,1894.01,4.14,344208,137291,128,372.4
mimc,4320,16,1,9677.25,2212.51,4.15,337536,133955,128,181.7
mimc,4320,16,2,9677.25,2190.18,4.12,337536,133955,128,181.7
mimc,4320,16,4,9677.25,2195.06,4.26,337536,133955,128,181.7
mimc,4320,16,8,9677.25,2194.59,4.19,337536,133955,128,181.7
mimc,4320,16,16,9677.25,2194.20,4.08,337536,133955,128,181.7
mimc,4320,64,1,34263.15,6750.01,4.08,1376064,548771,128,1337.0
mimc,4320,64,2,34263.15,6750.08,4.09,1376064,548771,128,1345.5
mimc,4320,64,4,34263.15,6760.23,4.09,1376064,548771,128,1345.5
mimc,4320,64,8,34263.15,6751.09,4.18,1376064,548771,128,1345.5
mimc,4320,64,16,34263.15,6796.04,4.23,1376064,548771,128,1345.5
mimc,4320,64,32,34263.15,6893.51,4.10,1376064,548771,128,1345.5
mimc,4320,64,64,34263.15,6818.97,4.09,1376064,548771,128,1345.5
hadamard,32,16,1,260.80,27.60,4.24,4610,2019,128,7.5
hadamard,32,16,2,260.80,27.43,4.14,4610,2019,128,7.6
hadamard,32,16,4,260.80,27.54,4.13,4610,2019,128,7.6
hadamard,32,16,8,260.80,27.95,4.21,4610,2019,128,7.6
hadamard,32,16,16,260.80,28.31,4.24,4610,2019,128,7.6
hadamard,32,64,1,788.47,72.30,4.15,18434,8163,128,19.4
hadamard,32,64,2,788.47,72.47,4.15,18434,8163,128,19.4
hadamard,32,64,4,788.47,72.66,4.16,18434,8163,128,19.5
hadamard,32,64,8,788.47,73.01,4.21,18434,8163,128,19.5
hadamard,32,64,16,788.47,73.94,4.16,18434,8163,128,19.5
hadamard,32,64,32,788.47,76.00,4.16,18434,8163,128,19.5
hadamard,32,64,64,788.47,75.29,4.15,18434,8163,128,19.5
hadamard,128,16,1,798.51,82.50,4.40,18434,8067,128,17.9
hadamard,128,16,2,798.51,83.28,4.37,18434,8067,128,18.0
hadamard,128,16,4,798.51,84.07,4.37,18434,8067,128,18.0
hadamard,128,16,8,798.51,85.76,4.37,18434,8067,128,18.0
hadamard,128,16,16,798.51,85.78,4.38,18434,8067,128,18.0
hadamard,128,64,1,2785.34,256.75,4.38,73730,32643,128,65.6
hadamard,128,64,2,2785.34,257.21,4.38,73730,32643,128,65.6
hadamard,128,64,4,2785.34,258.66,4.37,73730,32643,128,65.6
hadamard,128,64,8,2785.34,260.24,4.38,73730,32643,128,65.7
hadamard,128,64,16,2785.34,263.89,4.38,73730,32643,128,65.7
hadamard,128,64,32,2785.34,270.31,4.38,73730,32643,128,65.7
hadamard,128,64,64,2785.34,266.21,4.37,73730,32643,128,66.0
hadamard,512,16,1,2777.01,294.82,5.31,73730,32259,128,40.8
hadamard,512,16,2,2777.01,296.66,5.29,73730,32259,128,40.8
hadamard,512,16,4,2777.01,299.49,5.37,73730,32259,128,40.8
hadamard,512,16,8,2777.01,309.33,5.44,73730,32259,128,43.4
hadamard,512,16,16,2777.01,309.78,5.38,73730,32259,128,43.4
hadamard,512,64,1,9511.85,876.71,5.29,294914,130563,128,288.1
hadamard,512,64,2,9511.85,878.15,5.28,294914,130563,128,288.1
hadamard,512,64,4,9511.85,883.78,5.29,294914,130563,128,288.1
hadamard,512,64,8,9511.85,888.97,5.28,294914,130563,128,288.1
hadamard,512,64,16,9511.85,899.75,5.29,294914,130563,128,288.1
hadamard,512,64,32,9511.85,918.60,5.29,294914,130563,128,288.1
hadamard,512,64,64,9511.85,903.30,5.29,294914,130563,128,288.1
scalable,1024,16,1,4580.43,690.70,4.08,79940,31779,128,59.2
scalable,1024,16,2,4580.43,698.19,4.09,79940,31779,128,59.2
scalable,1024,16,4,4580.43,698.50,4.07,79940,31779,128,59.2
scalable,1024,16,8,4580.43,697.88,4.07,79940,31779,128,59.2
scalable,1024,16,16,4580.43,698.73,4.09,79940,31779,128,59.2
scalable,1024,64,1,16054.30,1884.55,4.18,325892,130179,128,401.3
scalable,1024,64,2,16054.30,1899.61,4.06,325892,130179,128,401.4
scalable,1024,64,4,16054.30,1894.73,4.09,325892,130179,128,401.4
scalable,1024,64,8,16054.30,1897.11,4.08,325892,130179,128,401.4
scalable,1024,64,16,16054.30,1900.89,4.08,325892,130179,128,401.4
scalable,1024,64,32,16054.30,1899.70,4.10,325892,130179,128,402.4
scalable,1024,64,64,16054.30,1907.07,4.07,325892,130179,128,404.4
scalable,8192,16,1,29779.83,4470.85,4.08,639044,253987,128,435.9
scalable,8192,16,2,29779.83,4501.27,4.07,639044,253987,128,435.9
scalable,8192,16,4,29779.83,4498.35,4.08,639044,253987,128,435.9
scalable,8192,16,8,29779.83,4508.15,4.07,639044,253987,128,435.9
scalable,8192,16,16,29779.83,4510.46,4.09,639044,253987,128,435.9
scalable,8192,64,1,107008.74,13150.77,4.08,2605316,1040515,128,2708.1
scalable,8192,64,2,107008.74,13176.94,4.08,2605316,1040515,128,2708.1
scalable,8192,64,4,107008.74,13196.70,4.45,2605316,1040515,128,2708.2
scalable,8192,64,8,107008.74,13302.01,4.08,2605316,1040515,128,2708.2
scalable,8192,64,16,107008.74,13281.45,4.08,2605316,1040515,128,2708.2
scalable,8192,64,32,107008.74,13291.52,4.07,2605316,1040515,128,2708.2
scalable,8192,64,64,107008.74,13287.45,4.08,2605316,1040515,128,2724.2
scalable,65536,16,1,200750.51,31806.14,4.08,5111876,2031651,128,3001.4
scalable,65536,16,2,200750.51,31794.16,4.09,5111876,2031651,128,3001.4
scalable,65536,16,4,200750.51,31805.13,4.07,5111876,2031651,128,3001.4
scalable,65536,16,8,200750.51,31865.07,4.08,5111876,2031651,128,3001.4
scalable,65536,16,16,200750.51,31894.22,4.07,5111876,2031651,128,3001.4
scalable,65536,64,1,765903.36,103595.79,4.09,20840708,8323203,128,21575.2
scalable,65536,64,2,765903.36,104962.32,4.22,20840708,8323203,128,21579.7
scalable,65536,64,4,765903.36,103380.89,4.08,20840708,8323203,128,21582.7
scalable,65536,64,8,765903.36,103124.35,4.08,20840708,8323203,128,21600.7
scalable,65536,64,16,765903.36,103480.58,4.09,20840708,8323203,128,21600.7
scalable,65536,64,32,765903.36,103057.71,4.09,20840708,8323203,128,21600.7
scalable,65536,64,64,765903.36,103666.08,4.07,20840708,8323203,128,21728.7
