circuit,n,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes
mimc,4320,32,10560.74,12226.68,3.99,554083,138275,128
mimc,4320,64,20028.23,22887.57,4.12,1108163,276547,128
hadamard,32,1,30.57,9.71,4.17,354,98,128
hadamard,32,2,40.74,10.68,4.25,547,162,128
hadamard,32,4,62.74,16.69,4.07,1058,290,128
hadamard,32,8,92.17,23.34,4.06,1954,546,128
hadamard,32,16,154.90,44.41,4.06,3746,1058,128
hadamard,32,1,29.01,9.41,4.04,354,98,128
hadamard,32,2,39.27,10.36,4.29,547,162,128
hadamard,32,4,61.87,16.54,4.05,1058,290,128
hadamard,32,8,92.25,23.43,4.05,1954,546,128
hadamard,32,16,155.71,44.37,4.07,3746,1058,128
hadamard,32,32,267.05,91.06,4.05,7330,2082,128
hadamard,32,64,468.01,179.52,4.04,14498,4130,128
hadamard,128,1,70.99,23.21,4.46,1410,386,128
hadamard,128,2,107.39,25.86,4.28,2179,642,128
hadamard,128,4,167.81,45.70,4.26,4226,1154,128
hadamard,128,8,276.38,76.55,4.27,7810,2178,128
hadamard,128,16,473.11,133.86,4.27,14978,4226,128
hadamard,128,1,71.02,23.21,4.59,1410,386,128
hadamard,128,2,105.02,25.84,4.30,2179,642,128
hadamard,128,4,167.09,45.78,4.29,4226,1154,128
hadamard,128,8,275.04,76.48,4.27,7810,2178,128
hadamard,128,16,473.30,133.40,4.27,14978,4226,128
hadamard,128,32,839.10,301.87,4.26,29314,8322,128
hadamard,128,64,1546.92,595.88,4.27,57986,16514,128
hadamard,512,1,202.25,76.98,5.21,5634,1538,128
hadamard,512,2,346.49,86.19,5.19,8707,2562,128
hadamard,512,4,524.80,146.67,5.20,16898,4610,128
hadamard,512,8,889.11,253.83,5.23,31234,8706,128
hadamard,512,16,1629.11,482.15,5.16,59906,16898,128
hadamard,512,1,200.70,74.78,5.19,5634,1538,128
hadamard,512,2,303.66,85.35,5.17,8707,2562,128
hadamard,512,4,508.14,145.97,5.17,16898,4610,128
hadamard,512,8,876.83,251.52,5.20,31234,8706,128
hadamard,512,16,1582.63,479.88,5.19,59906,16898,128
hadamard,512,32,2830.24,995.31,5.17,117250,33282,128
hadamard,512,64,5306.31,2061.39,5.18,231938,66050,128
scalable,1024,1,238.93,295.37,3.98,4106,1028,128
scalable,1024,2,431.46,515.74,3.98,8205,2053,128
scalable,1024,4,767.65,885.56,3.98,16403,4103,128
scalable,1024,8,1398.60,1622.16,3.98,32799,8203,128
scalable,1024,16,2603.31,2921.56,3.99,65591,16403,128
scalable,1024,1,241.55,297.41,3.96,4106,1028,128
scalable,1024,2,433.77,511.83,3.97,8205,2053,128
scalable,1024,4,758.35,884.56,3.98,16403,4103,128
scalable,1024,8,1400.02,1624.07,3.96,32799,8203,128
scalable,1024,16,2612.19,2924.13,3.97,65591,16403,128
scalable,1024,32,4803.68,5359.49,3.97,131175,32803,128
scalable,1024,64,8983.35,10000.02,3.99,262343,65603,128
scalable,8192,1,1451.28,1604.68,3.96,32778,8196,128
scalable,8192,2,2623.92,2925.45,3.99,65549,16389,128
scalable,8192,4,4987.56,5383.21,3.98,131091,32775,128
scalable,8192,8,9106.02,9959.71,3.97,262175,65547,128
scalable,8192,16,17175.49,18717.95,3.98,524343,131091,128
scalable,8192,1,1419.81,1606.11,3.98,32778,8196,128
scalable,8192,2,2602.26,2920.81,3.97,65549,16389,128
scalable,8192,4,4806.59,5345.90,3.98,131091,32775,128
scalable,8192,8,8994.08,9980.46,3.97,262175,65547,128
scalable,8192,16,16999.11,18624.30,3.97,524343,131091,128
scalable,8192,32,31854.17,35138.54,3.98,1048679,262179,128
scalable,8192,64,60488.74,65682.89,3.96,2097351,524355,128
scalable,65536,1,8998.83,9936.01,3.97,262154,65540,128
scalable,65536,2,16947.87,18616.80,4.05,524301,131077,128
scalable,65536,4,31840.22,35039.96,3.97,1048595,262151,128
scalable,65536,8,60475.56,65709.67,3.96,2097183,524299,128
scalable,65536,16,115056.05,125485.25,4.13,4194359,1048595,128
scalable,65536,1,9042.16,9980.08,3.98,262154,65540,128
scalable,65536,2,17019.37,18697.73,3.98,524301,131077,128
scalable,65536,4,31919.04,35300.90,3.97,1048595,262151,128
scalable,65536,8,60706.35,66661.38,3.97,2097183,524299,128
scalable,65536,16,115107.54,125217.93,3.96,4194359,1048595,128
scalable,65536,32,221177.77,244042.82,3.98,8388711,2097187,128
scalable,65536,64,421377.56,471586.59,3.98,16777415,4194371,128
