circuit,n,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes
mimc,270,1,56.46,72.19,3.98,1104,274,128
mimc,270,2,90.17,126.86,4.07,2173,545,128
mimc,270,4,163.82,208.44,4.17,4343,1087,128
mimc,270,8,298.21,339.76,3.99,8683,2171,128
mimc,270,16,476.09,619.47,4.00,17363,4339,128
mimc,270,1,55.68,71.64,3.96,1104,274,128
mimc,270,2,91.06,126.04,3.96,2173,545,128
mimc,270,4,157.32,207.19,4.01,4343,1087,128
mimc,270,8,277.12,338.06,3.97,8683,2171,128
mimc,270,16,477.50,618.20,4.03,17363,4339,128
mimc,270,32,876.97,1077.40,3.97,34723,8675,128
mimc,270,64,1655.93,1905.90,4.08,69443,17347,128
mimc,1080,1,162.68,204.93,3.98,4334,1084,128
mimc,1080,2,284.61,343.72,4.20,8665,2165,128
mimc,1080,4,505.55,620.27,3.97,17327,4327,128
mimc,1080,8,900.68,1099.72,3.99,34651,8651,128
mimc,1080,16,1714.19,1899.70,4.01,69299,17299,128
mimc,1080,1,152.77,205.86,4.00,4334,1084,128
mimc,1080,2,272.00,337.84,4.00,8665,2165,128
mimc,1080,4,486.27,618.22,4.03,17327,4327,128
mimc,1080,8,865.61,1078.86,3.98,34651,8651,128
mimc,1080,16,1644.89,1889.96,4.09,69299,17299,128
mimc,1080,32,2976.76,3526.54,3.96,138595,34595,128
mimc,1080,64,5683.20,6538.74,4.00,277187,69187,128
mimc,4320,1,474.24,615.90,3.99,17318,4324,128
mimc,4320,2,866.07,1078.61,3.97,34633,8645,128
mimc,4320,4,1655.66,1902.66,3.96,69263,17287,128
mimc,4320,8,3044.05,3542.13,3.97,138523,34571,128
mimc,4320,16,5774.11,6553.43,3.98,277043,69139,128
mimc,4320,1,483.70,613.62,4.16,17318,4324,128
mimc,4320,2,881.93,1075.73,4.01,34633,8645,128
mimc,4320,4,1634.19,1898.21,3.96,69263,17287,128
mimc,4320,8,2946.68,3540.21,3.97,138523,34571,128
mimc,4320,16,5741.51,6516.96,4.13,277043,69139,128
