circuit,n,B,step,uvc_setup_ms,uvc_prove_ms,uvc_verify_ms,uvc_crs_g1,uvc_crs_g2,uvc_proof_bytes,uvc_peak_mem_mb,g16_setup_ms,g16_prove_ms,g16_verify_ms,g16_crs_g1,g16_crs_g2,g16_proof_bytes,nova_setup_ms,nova_fold_ms,nova_total_fold_ms,nova_compress_ms,nova_verify_ms,nova_proof_bytes
hadamard,16,16,1,158.45,14.86,4.13,2306,1011,128,5.7,20.45,6.15,4.00,178,50,128,1362.93,27.25,27.25,1125.45,41.04,12000
hadamard,16,16,2,158.45,14.98,4.00,2306,1011,128,5.7,27.90,6.94,4.19,275,82,128,1362.93,48.04,75.29,1125.45,41.04,12000
hadamard,16,16,4,158.45,15.09,3.99,2306,1011,128,5.7,39.01,10.24,4.00,530,146,128,1362.93,57.39,190.26,1125.45,41.04,12000
hadamard,16,16,8,158.45,15.33,4.00,2306,1011,128,5.8,57.05,15.84,3.99,978,274,128,1362.93,60.54,437.71,1125.45,41.04,12000
hadamard,16,16,16,158.45,15.43,3.99,2306,1011,128,5.8,89.92,24.57,4.14,1874,530,128,1362.93,59.11,944.04,1125.45,41.04,12000
hadamard,16,64,1,453.22,44.78,3.99,9218,4083,128,13.6,20.45,6.15,4.00,178,50,128,1362.93,27.25,27.25,1125.45,41.04,12000
hadamard,16,64,2,453.22,44.96,3.99,9218,4083,128,13.6,27.90,6.94,4.19,275,82,128,1362.93,48.04,75.29,1125.45,41.04,12000
hadamard,16,64,4,453.22,45.11,3.99,9218,4083,128,13.6,39.01,10.24,4.00,530,146,128,1362.93,57.39,190.26,1125.45,41.04,12000
hadamard,16,64,8,453.22,45.39,3.98,9218,4083,128,13.7,57.05,15.84,3.99,978,274,128,1362.93,60.54,437.71,1125.45,41.04,12000
hadamard,16,64,16,453.22,46.14,4.17,9218,4083,128,13.7,89.92,24.57,4.14,1874,530,128,1362.93,59.11,944.04,1125.45,41.04,12000
hadamard,16,64,32,453.22,47.48,3.99,9218,4083,128,13.7,153.66,52.99,3.98,3666,1042,128,1362.93,59.54,1932.23,1125.45,41.04,12000
hadamard,16,64,64,453.22,47.26,3.98,9218,4083,128,13.7,260.48,109.79,3.98,7250,2066,128,1362.93,58.78,3918.56,1125.45,41.04,12000
hadamard,32,16,1,255.40,27.17,4.02,4610,2019,128,7.5,29.20,9.66,4.33,354,98,128,1385.26,48.68,48.68,1243.91,40.12,12512
hadamard,32,16,2,255.40,27.32,4.02,4610,2019,128,7.6,41.24,10.45,4.04,547,162,128,1385.26,67.08,115.75,1243.91,40.12,12512
hadamard,32,16,4,255.40,27.48,4.02,4610,2019,128,7.6,59.26,16.59,4.15,1058,290,128,1385.26,73.22,271.45,1243.91,40.12,12512
hadamard,32,16,8,255.40,27.89,4.03,4610,2019,128,7.7,97.25,24.22,4.03,1954,546,128,1385.26,67.96,545.27,1243.91,40.12,12512
hadamard,32,16,16,255.40,27.93,4.02,4610,2019,128,7.7,155.18,44.32,4.03,3746,1058,128,1385.26,73.82,1135.86,1243.91,40.12,12512
