circuit,n,B,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes,peak_mem_mb
mimc,270,16,1,857.23,199.25,4.27,21156,8405,128,19.2
mimc,270,16,2,857.23,201.38,4.16,21156,8405,128,19.2
mimc,270,16,4,857.23,193.57,3.94,21156,8405,128,19.2
mimc,270,16,8,857.23,201.22,4.09,21156,8405,128,19.2
mimc,270,16,16,857.23,201.47,4.14,21156,8405,128,19.3
mimc,270,64,1,2812.19,510.18,3.95,86244,34421,128,93.8
mimc,270,64,2,2812.19,513.12,4.20,86244,34421,128,94.3
mimc,270,64,4,2812.19,512.21,4.16,86244,34421,128,94.3
mimc,270,64,8,2812.19,518.78,3.94,86244,34421,128,94.3
mimc,270,64,16,2812.19,513.37,3.95,86244,34421,128,94.3
mimc,270,64,32,2812.19,513.65,4.07,86244,34421,128,94.3
mimc,270,64,64,2812.19,514.42,3.97,86244,34421,128,94.3
hadamard,16,16,1,158.45,14.86,4.13,2306,1011,128,5.7
hadamard,16,16,2,158.45,14.98,4.00,2306,1011,128,5.7
hadamard,16,16,4,158.45,15.09,3.99,2306,1011,128,5.7
hadamard,16,16,8,158.45,15.33,4.00,2306,1011,128,5.8
hadamard,16,16,16,158.45,15.43,3.99,2306,1011,128,5.8
hadamard,16,64,1,453.22,44.78,3.99,9218,4083,128,13.6
hadamard,16,64,2,453.22,44.96,3.99,9218,4083,128,13.6
hadamard,16,64,4,453.22,45.11,3.99,9218,4083,128,13.6
hadamard,16,64,8,453.22,45.39,3.98,9218,4083,128,13.7
hadamard,16,64,16,453.22,46.14,4.17,9218,4083,128,13.7
hadamard,16,64,32,453.22,47.48,3.99,9218,4083,128,13.7
hadamard,16,64,64,453.22,47.26,3.98,9218,4083,128,13.7
hadamard,32,16,1,255.40,27.17,4.02,4610,2019,128,7.5
hadamard,32,16,2,255.40,27.32,4.02,4610,2019,128,7.6
hadamard,32,16,4,255.40,27.48,4.02,4610,2019,128,7.6
hadamard,32,16,8,255.40,27.89,4.03,4610,2019,128,7.7
hadamard,32,16,16,255.40,27.93,4.02,4610,2019,128,7.7
hadamard,32,64,1,785.20,72.11,4.02,18434,8163,128,19.3
hadamard,32,64,2,785.20,72.47,4.04,18434,8163,128,19.3
hadamard,32,64,4,785.20,72.58,4.03,18434,8163,128,19.3
hadamard,32,64,8,785.20,75.16,4.04,18434,8163,128,19.3
hadamard,32,64,16,785.20,73.99,4.03,18434,8163,128,19.3
hadamard,32,64,32,785.20,75.71,4.03,18434,8163,128,19.3
hadamard,32,64,64,785.20,75.50,4.03,18434,8163,128,19.4
scalable,1024,16,1,4585.52,692.29,3.96,79940,31779,128,58.5
scalable,1024,16,2,4585.52,700.10,3.97,79940,31779,128,59.2
scalable,1024,16,4,4585.52,700.75,3.96,79940,31779,128,59.2
scalable,1024,16,8,4585.52,701.04,3.95,79940,31779,128,59.2
scalable,1024,16,16,4585.52,701.30,3.96,79940,31779,128,59.2
scalable,1024,64,1,15932.32,1890.47,3.94,325892,130179,128,392.1
scalable,1024,64,2,15932.32,1900.56,3.94,325892,130179,128,392.1
scalable,1024,64,4,15932.32,1903.33,3.94,325892,130179,128,392.1
scalable,1024,64,8,15932.32,1905.71,3.96,325892,130179,128,392.1
scalable,1024,64,16,15932.32,1905.47,3.95,325892,130179,128,392.1
scalable,1024,64,32,15932.32,1906.09,3.95,325892,130179,128,392.7
scalable,1024,64,64,15932.32,1908.89,3.95,325892,130179,128,394.8
scalable,16384,16,1,55390.69,8482.42,3.95,1278020,507939,128,835.9
scalable,16384,16,2,55390.69,8507.90,4.21,1278020,507939,128,835.9
scalable,16384,16,4,55390.69,8513.37,3.95,1278020,507939,128,835.9
scalable,16384,16,8,55390.69,8506.36,3.95,1278020,507939,128,835.9
scalable,16384,16,16,55390.69,8516.16,3.95,1278020,507939,128,835.9
scalable,16384,64,1,205733.52,26240.93,3.94,5210372,2080899,128,5453.9
scalable,16384,64,2,205733.52,26062.29,3.94,5210372,2080899,128,5453.9
scalable,16384,64,4,205733.52,26101.67,3.95,5210372,2080899,128,5454.0
scalable,16384,64,8,205733.52,26165.75,3.95,5210372,2080899,128,5454.0
scalable,16384,64,16,205733.52,26154.11,3.96,5210372,2080899,128,5454.0
scalable,16384,64,32,205733.52,26144.16,3.95,5210372,2080899,128,5454.0
scalable,16384,64,64,205733.52,26277.17,3.96,5210372,2080899,128,5486.0
