circuit,n,B,step,uvc_cum_s,g16_cum_s,nova_cum_s
mimc,270,16,1,1.0585,0.0677,2.5039
mimc,270,16,2,1.2597,0.2482,2.5575
mimc,270,16,4,1.6621,0.8447,2.6662
mimc,270,16,8,2.4670,2.8333,2.8826
mimc,270,16,16,4.0767,9.6461,3.3252
mimc,270,64,1,3.3256,0.0677,2.5039
mimc,270,64,2,3.8389,0.2482,2.5575
mimc,270,64,4,4.8657,0.8447,2.6662
mimc,270,64,8,6.9191,2.8333,2.8826
mimc,270,64,16,11.0261,9.6461,3.3252
mimc,270,64,32,19.2400,33.7071,4.3440
mimc,270,64,64,35.6679,120.8183,6.1811
hadamard,16,16,1,0.1735,0.0133,2.5156
hadamard,16,16,2,0.1886,0.0440,2.5637
hadamard,16,16,4,0.2188,0.1281,2.6786
hadamard,16,16,8,0.2792,0.3724,2.9261
hadamard,16,16,16,0.3999,1.1219,3.4324
hadamard,16,64,1,0.4986,0.0133,2.5156
hadamard,16,64,2,0.5440,0.0440,2.5637
hadamard,16,64,4,0.6348,0.1281,2.6786
hadamard,16,64,8,0.8163,0.3724,2.9261
hadamard,16,64,16,1.1795,1.1219,3.4324
hadamard,16,64,32,1.9057,3.6910,4.4206
hadamard,16,64,64,3.3582,12.9217,6.4069
hadamard,32,16,1,0.2829,0.0194,2.6779
hadamard,32,16,2,0.3104,0.0647,2.7449
hadamard,32,16,4,0.3653,0.1922,2.9006
hadamard,32,16,8,0.4752,0.5869,3.1744
hadamard,32,16,16,0.6951,1.8708,3.7650
hadamard,32,64,1,0.8592,0.0194,2.6779
hadamard,32,64,2,0.9332,0.0647,2.7449
hadamard,32,64,4,1.0812,0.1922,2.9006
hadamard,32,64,8,1.3771,0.5869,3.1744
hadamard,32,64,16,1.9690,1.8708,3.7650
hadamard,32,64,32,3.1529,6.2943,4.9585
hadamard,32,64,64,5.5206,22.2000,7.3270
scalable,1024,16,1,5.2863,0.2666,2.4491
scalable,1024,16,2,5.9870,1.0036,2.5047
scalable,1024,16,4,7.3885,3.5831,2.6137
scalable,1024,16,8,10.1915,12.8726,2.8377
scalable,1024,16,16,15.7975,46.8934,3.3268
scalable,1024,64,1,17.8378,0.2666,2.4491
scalable,1024,64,2,19.7433,1.0036,2.5047
scalable,1024,64,4,23.5542,3.5831,2.6137
scalable,1024,64,8,31.1761,12.8726,2.8377
scalable,1024,64,16,46.4198,46.8934,3.3268
scalable,1024,64,32,76.9074,171.4878,4.2587
scalable,1024,64,64,137.8824,634.6136,6.1758
scalable,16384,16,1,63.8986,2.7505,3.0296
scalable,16384,16,2,72.4065,10.5456,3.1172
scalable,16384,16,4,89.4223,39.4891,3.3364
scalable,16384,16,8,123.4539,148.9745,3.7690
scalable,16384,16,16,191.5171,559.4381,4.5725
scalable,16384,64,1,231.8876,2.7505,3.0296
scalable,16384,64,2,258.0417,10.5456,3.1172
scalable,16384,64,4,310.3500,39.4891,3.3364
scalable,16384,64,8,414.9664,148.9745,3.7690
scalable,16384,64,16,624.1993,559.4381,4.5725
scalable,16384,64,32,1042.6650,2100.6888,6.2234
scalable,16384,64,64,1879.5966,7958.3961,9.4185
