circuit,n,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes
sensor_fusion,4,1,9.71,3.48,2.69,41,13,128
sensor_fusion,4,2,12.03,4.79,2.69,76,23,128
sensor_fusion,4,4,16.61,6.68,2.71,151,43,128
sensor_fusion,4,8,23.47,9.62,2.67,287,83,128
sensor_fusion,4,16,35.82,15.83,2.70,575,163,128
sensor_fusion,4,32,57.52,22.01,2.72,1151,323,128
sensor_fusion,4,64,99.01,36.23,2.69,2303,643,128
sensor_fusion,4,1,9.87,3.46,2.69,41,13,128
sensor_fusion,4,2,11.91,4.82,2.68,76,23,128
sensor_fusion,4,4,16.73,6.71,2.68,151,43,128
sensor_fusion,4,8,23.72,9.61,2.66,287,83,128
sensor_fusion,4,16,35.89,15.91,2.76,575,163,128
sensor_fusion,4,32,62.07,21.98,2.72,1151,323,128
sensor_fusion,4,64,100.45,36.48,2.67,2303,643,128
sensor_fusion,4,128,169.88,65.63,2.68,4607,1283,128
sensor_fusion,4,256,299.00,101.86,2.67,9215,2563,128
sensor_fusion,4,1,9.90,3.54,2.75,41,13,128
sensor_fusion,4,2,12.41,4.89,2.72,76,23,128
sensor_fusion,4,4,17.04,6.68,2.71,151,43,128
sensor_fusion,4,8,23.68,9.71,2.71,287,83,128
sensor_fusion,4,16,36.34,16.18,2.74,575,163,128
sensor_fusion,4,32,58.09,22.49,2.74,1151,323,128
sensor_fusion,4,64,103.71,37.47,2.79,2303,643,128
sensor_fusion,4,128,172.62,65.85,2.68,4607,1283,128
sensor_fusion,4,256,302.16,102.41,2.73,9215,2563,128
sensor_fusion,4,512,542.92,182.96,2.75,18431,5123,128
sensor_fusion,4,1024,984.06,339.16,2.74,36863,10243,128
sensor_fusion,6,1,10.98,3.96,2.73,55,17,128
sensor_fusion,6,2,14.25,6.17,2.74,105,31,128
sensor_fusion,6,4,19.49,7.35,2.75,205,59,128
sensor_fusion,6,8,29.24,10.79,2.73,398,115,128
sensor_fusion,6,16,45.40,17.93,2.73,797,227,128
sensor_fusion,6,32,74.15,25.85,2.71,1597,451,128
sensor_fusion,6,64,126.11,43.57,2.73,3197,899,128
sensor_fusion,6,1,11.18,3.99,2.66,55,17,128
sensor_fusion,6,2,14.16,6.21,2.74,105,31,128
sensor_fusion,6,4,19.14,7.36,2.73,205,59,128
sensor_fusion,6,8,29.01,10.91,2.71,398,115,128
sensor_fusion,6,16,45.94,18.07,2.72,797,227,128
sensor_fusion,6,32,74.19,25.87,2.67,1597,451,128
sensor_fusion,6,64,125.64,43.74,2.75,3197,899,128
sensor_fusion,6,128,218.18,78.55,2.72,6397,1795,128
sensor_fusion,6,256,418.54,127.19,2.86,12797,3587,128
sensor_fusion,6,1,11.24,4.03,2.78,55,17,128
sensor_fusion,6,2,14.40,6.19,2.70,105,31,128
sensor_fusion,6,4,19.58,7.48,2.74,205,59,128
sensor_fusion,6,8,29.90,10.98,2.74,398,115,128
sensor_fusion,6,16,45.67,18.01,2.77,797,227,128
sensor_fusion,6,32,75.22,25.86,2.72,1597,451,128
sensor_fusion,6,64,126.86,43.74,2.69,3197,899,128
sensor_fusion,6,128,223.63,78.42,2.74,6397,1795,128
sensor_fusion,6,256,408.61,127.45,2.72,12797,3587,128
sensor_fusion,6,512,725.42,229.71,2.77,25597,7171,128
sensor_fusion,6,1024,1316.43,428.22,2.70,51197,14339,128
sensor_fusion,8,1,12.43,5.02,2.75,69,21,128
sensor_fusion,8,2,16.04,6.66,2.77,135,39,128
sensor_fusion,8,4,22.56,8.75,2.73,259,75,128
sensor_fusion,8,8,34.04,14.56,2.69,523,147,128
sensor_fusion,8,16,55.40,21.44,2.72,1019,291,128
sensor_fusion,8,32,92.65,35.02,2.78,2043,579,128
sensor_fusion,8,64,156.85,62.44,2.77,4091,1155,128
sensor_fusion,8,1,12.85,5.14,2.71,69,21,128
sensor_fusion,8,2,16.49,6.83,3.06,135,39,128
sensor_fusion,8,4,24.18,8.77,2.76,259,75,128
sensor_fusion,8,8,35.19,14.66,2.79,523,147,128
sensor_fusion,8,16,56.14,21.54,2.72,1019,291,128
sensor_fusion,8,32,92.45,35.27,2.77,2043,579,128
sensor_fusion,8,64,156.91,62.67,2.75,4091,1155,128
sensor_fusion,8,128,279.20,96.08,2.75,8187,2307,128
sensor_fusion,8,256,490.13,168.64,2.69,16379,4611,128
sensor_fusion,8,1,12.23,4.94,3.06,69,21,128
sensor_fusion,8,2,18.61,7.01,2.76,135,39,128
sensor_fusion,8,4,25.11,9.46,2.80,259,75,128
sensor_fusion,8,8,34.90,15.82,2.65,523,147,128
sensor_fusion,8,16,58.49,22.07,2.85,1019,291,128
sensor_fusion,8,32,98.73,36.53,2.84,2043,579,128
sensor_fusion,8,64,166.28,68.42,2.81,4091,1155,128
sensor_fusion,8,128,307.55,104.18,5.77,8187,2307,128
sensor_fusion,8,256,568.82,176.76,2.78,16379,4611,128
sensor_fusion,8,512,928.80,323.90,2.79,32763,9219,128
sensor_fusion,8,1024,1649.55,538.93,2.78,65531,18435,128
