circuit,n,B,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes,peak_mem_mb
sensor_fusion,4,64,1,148.68,14.69,2.67,2922,1274,128,7.9
sensor_fusion,4,64,2,148.68,14.94,2.68,2922,1274,128,7.9
sensor_fusion,4,64,4,148.68,15.16,2.71,2922,1274,128,8.0
sensor_fusion,4,64,8,148.68,15.12,2.68,2922,1274,128,8.0
sensor_fusion,4,64,16,148.68,14.83,2.67,2922,1274,128,8.0
sensor_fusion,4,64,32,148.68,14.99,2.68,2922,1274,128,8.0
sensor_fusion,4,64,64,148.68,14.67,2.68,2922,1274,128,8.0
sensor_fusion,4,256,1,416.40,40.20,2.70,11754,5114,128,33.9
sensor_fusion,4,256,2,416.40,40.50,2.68,11754,5114,128,33.9
sensor_fusion,4,256,4,416.40,40.75,2.69,11754,5114,128,34.0
sensor_fusion,4,256,8,416.40,40.90,2.68,11754,5114,128,34.0
sensor_fusion,4,256,16,416.40,40.84,2.66,11754,5114,128,34.0
sensor_fusion,4,256,32,416.40,40.86,2.68,11754,5114,128,34.0
sensor_fusion,4,256,64,416.40,40.95,2.68,11754,5114,128,34.0
sensor_fusion,4,256,128,416.40,40.61,2.66,11754,5114,128,34.0
sensor_fusion,4,256,256,416.40,40.56,2.64,11754,5114,128,34.0
sensor_fusion,4,1024,1,1352.90,119.88,2.79,47082,20474,128,414.3
sensor_fusion,4,1024,2,1352.90,122.54,2.68,47082,20474,128,414.4
sensor_fusion,4,1024,4,1352.90,121.68,2.69,47082,20474,128,414.5
sensor_fusion,4,1024,8,1352.90,120.94,2.71,47082,20474,128,414.5
sensor_fusion,4,1024,16,1352.90,121.64,2.77,47082,20474,128,414.5
sensor_fusion,4,1024,32,1352.90,120.56,2.70,47082,20474,128,414.5
sensor_fusion,4,1024,64,1352.90,122.29,2.72,47082,20474,128,414.5
sensor_fusion,4,1024,128,1352.90,121.81,2.77,47082,20474,128,414.6
sensor_fusion,4,1024,256,1352.90,121.12,2.67,47082,20474,128,414.7
sensor_fusion,4,1024,512,1352.90,121.05,2.73,47082,20474,128,414.7
sensor_fusion,4,1024,1024,1352.90,121.40,2.67,47082,20474,128,414.9
sensor_fusion,6,64,1,167.00,17.46,2.69,4064,1782,128,9.0
sensor_fusion,6,64,2,167.00,17.74,2.70,4064,1782,128,9.0
sensor_fusion,6,64,4,167.00,17.58,2.70,4064,1782,128,9.1
sensor_fusion,6,64,8,167.00,17.82,2.64,4064,1782,128,9.1
sensor_fusion,6,64,16,167.00,17.71,2.75,4064,1782,128,9.1
sensor_fusion,6,64,32,167.00,17.73,2.72,4064,1782,128,9.1
sensor_fusion,6,64,64,167.00,17.52,2.68,4064,1782,128,9.1
sensor_fusion,6,256,1,511.24,48.48,2.71,16352,7158,128,44.6
sensor_fusion,6,256,2,511.24,48.84,2.72,16352,7158,128,44.7
