circuit,n,step,setup_ms,fold_ms,total_fold_ms,compress_ms,verify_ms,proof_bytes
sensor_fusion,8,256,744.68,31.59,8520.05,571.16,21.85,11520
sensor_fusion,8,1,798.89,14.83,14.83,546.09,20.89,11520
sensor_fusion,8,2,798.89,28.86,43.70,546.09,20.89,11520
sensor_fusion,8,4,798.89,32.11,107.22,546.09,20.89,11520
sensor_fusion,8,8,798.89,31.18,232.95,546.09,20.89,11520
sensor_fusion,8,16,798.89,32.12,488.33,546.09,20.89,11520
sensor_fusion,8,32,798.89,31.36,999.31,546.09,20.89,11520
sensor_fusion,8,64,798.89,37.07,2078.49,546.09,20.89,11520
sensor_fusion,8,128,798.89,31.51,4216.18,546.09,20.89,11520
sensor_fusion,8,256,798.89,32.16,8387.63,546.09,20.89,11520
sensor_fusion,8,512,798.89,32.01,16780.23,546.09,20.89,11520
sensor_fusion,8,1024,798.89,32.75,33768.22,546.09,20.89,11520
