circuit,n,step,setup_ms,fold_ms,total_fold_ms,compress_ms,verify_ms,proof_bytes
sensor_fusion,4,1,791.32,14.85,14.85,583.13,21.16,11520
sensor_fusion,4,2,791.32,35.01,49.86,583.13,21.16,11520
sensor_fusion,4,4,791.32,31.42,114.16,583.13,21.16,11520
sensor_fusion,4,8,791.32,32.02,265.28,583.13,21.16,11520
sensor_fusion,4,16,791.32,32.07,554.44,583.13,21.16,11520
sensor_fusion,4,32,791.32,35.05,1076.25,583.13,21.16,11520
sensor_fusion,4,64,791.32,32.34,2116.58,583.13,21.16,11520
sensor_fusion,4,1,751.60,14.36,14.36,587.92,23.63,11520
sensor_fusion,4,2,751.60,26.22,40.57,587.92,23.63,11520
sensor_fusion,4,4,751.60,57.26,130.20,587.92,23.63,11520
sensor_fusion,4,8,751.60,31.80,258.52,587.92,23.63,11520
sensor_fusion,4,16,751.60,31.51,512.24,587.92,23.63,11520
sensor_fusion,4,32,751.60,31.19,1032.45,587.92,23.63,11520
sensor_fusion,4,64,751.60,31.87,2094.49,587.92,23.63,11520
sensor_fusion,4,128,751.60,31.53,4173.73,587.92,23.63,11520
sensor_fusion,4,256,751.60,31.60,8302.92,587.92,23.63,11520
sensor_fusion,4,1,744.27,14.06,14.06,594.09,22.38,11520
sensor_fusion,4,2,744.27,29.52,43.58,594.09,22.38,11520
sensor_fusion,4,4,744.27,31.82,106.39,594.09,22.38,11520
sensor_fusion,4,8,744.27,49.84,250.93,594.09,22.38,11520
sensor_fusion,4,16,744.27,39.95,535.18,594.09,22.38,11520
sensor_fusion,4,32,744.27,31.59,1083.46,594.09,22.38,11520
sensor_fusion,4,64,744.27,31.16,2106.82,594.09,22.38,11520
sensor_fusion,4,128,744.27,31.62,4181.93,594.09,22.38,11520
sensor_fusion,4,256,744.27,53.18,8350.63,594.09,22.38,11520
sensor_fusion,4,512,744.27,31.63,16728.47,594.09,22.38,11520
sensor_fusion,4,1024,744.27,31.94,33314.24,594.09,22.38,11520
sensor_fusion,6,1,773.36,13.93,13.93,557.08,21.64,11520
sensor_fusion,6,2,773.36,87.46,101.39,557.08,21.64,11520
sensor_fusion,6,4,773.36,85.88,262.42,557.08,21.64,11520
sensor_fusion,6,8,773.36,35.76,438.88,557.08,21.64,11520
sensor_fusion,6,16,773.36,56.42,733.99,557.08,21.64,11520
sensor_fusion,6,32,773.36,36.10,1275.40,557.08,21.64,11520
sensor_fusion,6,64,773.36,33.42,2335.23,557.08,21.64,11520
sensor_fusion,6,1,754.01,15.35,15.35,603.23,21.60,11520
sensor_fusion,6,2,754.01,29.47,44.82,603.23,21.60,11520
sensor_fusion,6,4,754.01,31.81,106.98,603.23,21.60,11520
sensor_fusion,6,8,754.01,32.29,248.03,603.23,21.60,11520
sensor_fusion,6,16,754.01,31.92,505.73,603.23,21.60,11520
sensor_fusion,6,32,754.01,33.28,1020.52,603.23,21.60,11520
sensor_fusion,6,64,754.01,35.12,2174.70,603.23,21.60,11520
sensor_fusion,6,128,754.01,45.16,4243.10,603.23,21.60,11520
sensor_fusion,6,256,754.01,31.70,8560.45,603.23,21.60,11520
sensor_fusion,6,1,755.16,13.93,13.93,596.09,21.84,11520
sensor_fusion,6,2,755.16,24.36,38.28,596.09,21.84,11520
sensor_fusion,6,4,755.16,31.02,99.88,596.09,21.84,11520
sensor_fusion,6,8,755.16,32.67,230.63,596.09,21.84,11520
sensor_fusion,6,16,755.16,34.85,511.76,596.09,21.84,11520
sensor_fusion,6,32,755.16,31.80,1055.54,596.09,21.84,11520
sensor_fusion,6,64,755.16,36.61,2121.21,596.09,21.84,11520
sensor_fusion,6,128,755.16,31.75,4221.40,596.09,21.84,11520
sensor_fusion,6,256,755.16,32.27,8521.26,596.09,21.84,11520
sensor_fusion,6,512,755.16,31.90,17049.24,596.09,21.84,11520
sensor_fusion,6,1024,755.16,31.75,34148.29,596.09,21.84,11520
sensor_fusion,8,1,746.75,27.14,27.14,615.03,31.13,11520
sensor_fusion,8,2,746.75,56.85,83.99,615.03,31.13,11520
sensor_fusion,8,4,746.75,49.87,187.51,615.03,31.13,11520
sensor_fusion,8,8,746.75,33.76,328.67,615.03,31.13,11520
sensor_fusion,8,16,746.75,31.12,581.00,615.03,31.13,11520
sensor_fusion,8,32,746.75,31.39,1088.98,615.03,31.13,11520
sensor_fusion,8,64,746.75,31.53,2290.93,615.03,31.13,11520
sensor_fusion,8,1,744.68,13.68,13.68,571.16,21.85,11520
sensor_fusion,8,2,744.68,24.97,38.65,571.16,21.85,11520
sensor_fusion,8,4,744.68,32.48,100.96,571.16,21.85,11520
sensor_fusion,8,8,744.68,31.80,227.41,571.16,21.85,11520
sensor_fusion,8,16,744.68,33.19,503.31,571.16,21.85,11520
sensor_fusion,8,32,744.68,31.58,1011.28,571.16,21.85,11520
sensor_fusion,8,64,744.68,31.90,2049.72,571.16,21.85,11520
sensor_fusion,8,128,744.68,32.14,4119.73,571.16,21.85,11520
