circuit,n,step,setup_ms,fold_ms,total_fold_ms,compress_ms,verify_ms,proof_bytes
sensor_fusion,4,1,773.83,14.12,14.12,547.79,21.85,11520
sensor_fusion,4,2,773.83,25.02,39.14,547.79,21.85,11520
sensor_fusion,4,4,773.83,31.19,100.68,547.79,21.85,11520
sensor_fusion,4,8,773.83,31.37,227.03,547.79,21.85,11520
sensor_fusion,4,16,773.83,32.41,495.45,547.79,21.85,11520
sensor_fusion,4,32,773.83,31.55,1002.11,547.79,21.85,11520
sensor_fusion,4,64,773.83,31.86,2036.38,547.79,21.85,11520
sensor_fusion,8,1,744.71,13.67,13.67,569.67,21.82,11520
sensor_fusion,8,2,744.71,24.52,38.19,569.67,21.82,11520
sensor_fusion,8,4,744.71,31.14,99.60,569.67,21.82,11520
sensor_fusion,8,8,744.71,31.26,226.72,569.67,21.82,11520
sensor_fusion,8,16,744.71,45.59,506.32,569.67,21.82,11520
sensor_fusion,8,32,744.71,32.07,1029.78,569.67,21.82,11520
sensor_fusion,8,64,744.71,31.52,2112.96,569.67,21.82,11520
sensor_fusion,16,1,732.03,13.76,13.76,548.02,21.35,11520
sensor_fusion,16,2,732.03,23.98,37.75,548.02,21.35,11520
sensor_fusion,16,4,732.03,35.30,103.53,548.02,21.35,11520
sensor_fusion,16,8,732.03,31.37,237.57,548.02,21.35,11520
sensor_fusion,16,16,732.03,31.48,492.89,548.02,21.35,11520
sensor_fusion,16,32,732.03,31.47,1000.22,548.02,21.35,11520
sensor_fusion,16,64,732.03,31.76,2019.30,548.02,21.35,11520
sensor_fusion,32,1,743.91,13.93,13.93,544.10,20.89,11520
sensor_fusion,32,2,743.91,25.57,39.50,544.10,20.89,11520
sensor_fusion,32,4,743.91,32.24,103.72,544.10,20.89,11520
sensor_fusion,32,8,743.91,31.44,239.92,544.10,20.89,11520
sensor_fusion,32,16,743.91,38.67,500.32,544.10,20.89,11520
sensor_fusion,32,32,743.91,31.83,1006.54,544.10,20.89,11520
sensor_fusion,32,64,743.91,31.80,2115.19,544.10,20.89,11520
sensor_fusion,64,1,729.66,14.05,14.05,544.35,21.19,11520
sensor_fusion,64,2,729.66,24.30,38.35,544.35,21.19,11520
sensor_fusion,64,4,729.66,31.36,100.22,544.35,21.19,11520
sensor_fusion,64,8,729.66,31.47,227.37,544.35,21.19,11520
sensor_fusion,64,16,729.66,32.50,506.75,544.35,21.19,11520
sensor_fusion,64,32,729.66,35.65,1039.58,544.35,21.19,11520
sensor_fusion,64,64,729.66,31.12,2074.40,544.35,21.19,11520
