circuit,n,B,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes,peak_mem_mb
sensor_fusion,4,16,1,45.03,8.03,2.65,714,314,128,4.1
sensor_fusion,4,16,2,45.03,8.30,2.65,714,314,128,4.1
sensor_fusion,4,16,4,45.03,8.12,2.64,714,314,128,4.2
sensor_fusion,4,16,8,45.03,8.37,2.66,714,314,128,4.2
sensor_fusion,4,16,16,45.03,7.78,2.63,714,314,128,4.2
sensor_fusion,4,64,1,127.89,14.80,2.68,2922,1274,128,7.9
sensor_fusion,4,64,2,127.89,15.08,2.62,2922,1274,128,7.9
sensor_fusion,4,64,4,127.89,14.80,2.63,2922,1274,128,7.9
sensor_fusion,4,64,8,127.89,14.99,2.64,2922,1274,128,7.9
sensor_fusion,4,64,16,127.89,14.92,2.69,2922,1274,128,7.9
sensor_fusion,4,64,32,127.89,15.06,2.64,2922,1274,128,8.0
sensor_fusion,4,64,64,127.89,14.64,2.64,2922,1274,128,8.0
sensor_fusion,8,16,1,64.78,13.36,2.70,1270,562,128,4.9
sensor_fusion,8,16,2,64.78,13.53,2.63,1270,562,128,5.0
sensor_fusion,8,16,4,64.78,13.53,2.69,1270,562,128,5.0
sensor_fusion,8,16,8,64.78,13.63,2.65,1270,562,128,5.0
sensor_fusion,8,16,16,64.78,12.10,2.66,1270,562,128,5.0
sensor_fusion,8,64,1,209.82,24.84,2.70,5206,2290,128,9.8
sensor_fusion,8,64,2,209.82,25.02,2.71,5206,2290,128,9.9
sensor_fusion,8,64,4,209.82,24.96,2.70,5206,2290,128,9.9
sensor_fusion,8,64,8,209.82,24.93,2.70,5206,2290,128,9.9
sensor_fusion,8,64,16,209.82,24.97,2.63,5206,2290,128,9.9
sensor_fusion,8,64,32,209.82,24.92,2.72,5206,2290,128,9.9
sensor_fusion,8,64,64,209.82,23.18,2.71,5206,2290,128,9.9
sensor_fusion,16,16,1,103.85,20.86,2.74,2414,1058,128,6.2
sensor_fusion,16,16,2,103.85,20.48,2.69,2414,1058,128,6.2
sensor_fusion,16,16,4,103.85,20.95,2.70,2414,1058,128,6.2
sensor_fusion,16,16,8,103.85,20.70,2.67,2414,1058,128,6.3
sensor_fusion,16,16,16,103.85,17.95,2.63,2414,1058,128,6.3
sensor_fusion,16,64,1,324.72,41.86,2.72,9774,4322,128,17.0
sensor_fusion,16,64,2,324.72,41.88,2.73,9774,4322,128,17.0
sensor_fusion,16,64,4,324.72,41.90,2.68,9774,4322,128,17.0
sensor_fusion,16,64,8,324.72,42.06,2.71,9774,4322,128,17.1
sensor_fusion,16,64,16,324.72,42.21,2.74,9774,4322,128,17.1
sensor_fusion,16,64,32,324.72,41.99,2.69,9774,4322,128,17.1
sensor_fusion,16,64,64,324.72,39.36,2.73,9774,4322,128,17.1
sensor_fusion,32,16,1,176.92,30.33,2.74,4638,2050,128,7.7
sensor_fusion,32,16,2,176.92,30.76,2.72,4638,2050,128,7.7
sensor_fusion,32,16,4,176.92,31.12,2.73,4638,2050,128,7.7
sensor_fusion,32,16,8,176.92,31.08,2.72,4638,2050,128,7.8
sensor_fusion,32,16,16,176.92,31.23,2.75,4638,2050,128,7.8
sensor_fusion,32,64,1,543.39,60.90,2.67,18910,8386,128,20.8
sensor_fusion,32,64,2,543.39,61.89,2.68,18910,8386,128,20.9
sensor_fusion,32,64,4,543.39,61.93,2.69,18910,8386,128,20.9
sensor_fusion,32,64,8,543.39,62.13,2.70,18910,8386,128,20.9
sensor_fusion,32,64,16,543.39,62.09,2.69,18910,8386,128,20.9
sensor_fusion,32,64,32,543.39,61.99,2.71,18910,8386,128,21.0
sensor_fusion,32,64,64,543.39,62.27,2.66,18910,8386,128,21.0
sensor_fusion,64,16,1,299.91,53.89,2.75,9150,4034,128,12.1
sensor_fusion,64,16,2,299.91,55.35,2.74,9150,4034,128,12.1
sensor_fusion,64,16,4,299.91,55.18,2.75,9150,4034,128,12.1
sensor_fusion,64,16,8,299.91,55.21,2.74,9150,4034,128,12.2
sensor_fusion,64,16,16,299.91,50.60,2.74,9150,4034,128,12.2
sensor_fusion,64,64,1,999.83,112.10,2.70,37310,16514,128,36.6
sensor_fusion,64,64,2,999.83,113.95,2.77,37310,16514,128,36.6
sensor_fusion,64,64,4,999.83,113.87,2.74,37310,16514,128,36.6
sensor_fusion,64,64,8,999.83,114.50,2.74,37310,16514,128,36.6
sensor_fusion,64,64,16,999.83,114.33,2.73,37310,16514,128,36.6
sensor_fusion,64,64,32,999.83,114.18,2.75,37310,16514,128,36.8
sensor_fusion,64,64,64,999.83,109.76,2.74,37310,16514,128,36.8
