circuit,n,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes
sensor_fusion,4,1,10.67,3.45,2.71,41,13,128
sensor_fusion,4,2,13.46,4.79,2.68,76,23,128
sensor_fusion,4,4,19.37,6.65,2.57,151,43,128
sensor_fusion,4,8,27.83,9.47,2.62,287,83,128
sensor_fusion,4,16,43.40,15.64,2.64,575,163,128
sensor_fusion,4,1,10.68,3.45,2.66,41,13,128
sensor_fusion,4,2,13.51,4.78,2.66,76,23,128
sensor_fusion,4,4,19.55,6.57,2.69,151,43,128
sensor_fusion,4,8,28.12,9.61,2.67,287,83,128
sensor_fusion,4,16,43.32,15.74,2.65,575,163,128
sensor_fusion,4,32,70.34,21.88,2.70,1151,323,128
sensor_fusion,4,64,125.22,36.10,2.65,2303,643,128
sensor_fusion,8,1,14.02,4.90,2.64,69,21,128
sensor_fusion,8,2,18.59,6.66,2.66,135,39,128
sensor_fusion,8,4,26.94,8.74,2.63,259,75,128
sensor_fusion,8,8,40.66,14.30,2.60,523,147,128
sensor_fusion,8,16,69.33,21.13,2.71,1019,291,128
sensor_fusion,8,1,13.69,4.88,2.69,69,21,128
sensor_fusion,8,2,18.87,6.59,2.65,135,39,128
sensor_fusion,8,4,26.84,8.70,2.64,259,75,128
sensor_fusion,8,8,40.25,14.20,2.69,523,147,128
sensor_fusion,8,16,68.65,20.84,2.69,1019,291,128
sensor_fusion,8,32,113.89,34.61,2.68,2043,579,128
sensor_fusion,8,64,193.84,61.60,2.70,4091,1155,128
sensor_fusion,16,1,18.25,6.63,2.67,125,37,128
sensor_fusion,16,2,26.27,8.95,2.72,255,71,128
sensor_fusion,16,4,39.18,14.14,2.70,491,139,128
sensor_fusion,16,8,65.90,20.58,2.68,963,275,128
sensor_fusion,16,16,108.61,31.39,2.74,1939,547,128
sensor_fusion,16,1,18.37,6.61,2.67,125,37,128
sensor_fusion,16,2,26.11,8.91,2.68,255,71,128
sensor_fusion,16,4,38.63,14.19,2.67,491,139,128
sensor_fusion,16,8,65.77,20.71,2.73,963,275,128
sensor_fusion,16,16,108.65,31.49,2.71,1939,547,128
sensor_fusion,16,32,190.85,59.67,2.70,3827,1091,128
sensor_fusion,16,64,323.14,90.55,2.70,7667,2179,128
sensor_fusion,32,1,25.89,8.83,2.69,237,69,128
sensor_fusion,32,2,38.99,14.54,2.69,495,135,128
sensor_fusion,32,4,65.80,21.14,2.74,955,267,128
sensor_fusion,32,8,106.13,31.23,2.72,1875,531,128
sensor_fusion,32,16,209.31,54.45,2.71,3715,1059,128
sensor_fusion,32,1,26.01,8.96,2.66,237,69,128
sensor_fusion,32,2,38.96,14.51,2.71,495,135,128
sensor_fusion,32,4,65.28,21.11,2.71,955,267,128
sensor_fusion,32,8,105.47,30.90,2.73,1875,531,128
sensor_fusion,32,16,181.10,54.56,2.73,3715,1059,128
sensor_fusion,32,32,314.41,89.41,2.72,7459,2115,128
sensor_fusion,32,64,556.57,155.07,2.63,14819,4227,128
sensor_fusion,64,1,39.54,14.53,2.73,461,133,128
sensor_fusion,64,2,66.09,21.89,2.72,975,263,128
sensor_fusion,64,4,106.63,32.12,2.77,1883,523,128
sensor_fusion,64,8,180.96,55.14,2.73,3699,1043,128
sensor_fusion,64,16,309.08,89.23,2.73,7331,2083,128
sensor_fusion,64,1,40.11,14.56,2.75,461,133,128
sensor_fusion,64,2,66.17,22.00,2.73,975,263,128
sensor_fusion,64,4,106.24,32.07,2.77,1883,523,128
sensor_fusion,64,8,180.98,55.26,2.78,3699,1043,128
sensor_fusion,64,16,311.73,88.95,2.75,7331,2083,128
sensor_fusion,64,32,548.61,147.12,2.76,14595,4163,128
sensor_fusion,64,64,1036.00,271.99,2.71,29251,8323,128
