circuit,n,B,step,uvc_setup_ms,uvc_prove_ms,uvc_verify_ms,uvc_crs_g1,uvc_crs_g2,uvc_proof_bytes,uvc_peak_mem_mb,g16_setup_ms,g16_prove_ms,g16_verify_ms,g16_crs_g1,g16_crs_g2,g16_proof_bytes,nova_setup_ms,nova_fold_ms,nova_total_fold_ms,nova_compress_ms,nova_verify_ms,nova_proof_bytes
sensor_fusion,4,16,1,45.03,8.03,2.65,714,314,128,4.1,10.67,3.45,2.71,41,13,128,773.83,14.12,14.12,547.79,21.85,11520
sensor_fusion,4,16,2,45.03,8.30,2.65,714,314,128,4.1,13.46,4.79,2.68,76,23,128,773.83,25.02,39.14,547.79,21.85,11520
sensor_fusion,4,16,4,45.03,8.12,2.64,714,314,128,4.2,19.37,6.65,2.57,151,43,128,773.83,31.19,100.68,547.79,21.85,11520
sensor_fusion,4,16,8,45.03,8.37,2.66,714,314,128,4.2,27.83,9.47,2.62,287,83,128,773.83,31.37,227.03,547.79,21.85,11520
sensor_fusion,4,16,16,45.03,7.78,2.63,714,314,128,4.2,43.40,15.64,2.64,575,163,128,773.83,32.41,495.45,547.79,21.85,11520
sensor_fusion,4,64,1,127.89,14.80,2.68,2922,1274,128,7.9,10.67,3.45,2.71,41,13,128,773.83,14.12,14.12,547.79,21.85,11520
sensor_fusion,4,64,2,127.89,15.08,2.62,2922,1274,128,7.9,13.46,4.79,2.68,76,23,128,773.83,25.02,39.14,547.79,21.85,11520
sensor_fusion,4,64,4,127.89,14.80,2.63,2922,1274,128,7.9,19.37,6.65,2.57,151,43,128,773.83,31.19,100.68,547.79,21.85,11520
sensor_fusion,4,64,8,127.89,14.99,2.64,2922,1274,128,7.9,27.83,9.47,2.62,287,83,128,773.83,31.37,227.03,547.79,21.85,11520
sensor_fusion,4,64,16,127.89,14.92,2.69,2922,1274,128,7.9,43.40,15.64,2.64,575,163,128,773.83,32.41,495.45,547.79,21.85,11520
sensor_fusion,4,64,32,127.89,15.06,2.64,2922,1274,128,8.0,70.34,21.88,2.70,1151,323,128,773.83,31.55,1002.11,547.79,21.85,11520
sensor_fusion,4,64,64,127.89,14.64,2.64,2922,1274,128,8.0,125.22,36.10,2.65,2303,643,128,773.83,31.86,2036.38,547.79,21.85,11520
sensor_fusion,8,16,1,64.78,13.36,2.70,1270,562,128,4.9,14.02,4.90,2.64,69,21,128,744.71,13.67,13.67,569.67,21.82,11520
sensor_fusion,8,16,2,64.78,13.53,2.63,1270,562,128,5.0,18.59,6.66,2.66,135,39,128,744.71,24.52,38.19,569.67,21.82,11520
sensor_fusion,8,16,4,64.78,13.53,2.69,1270,562,128,5.0,26.94,8.74,2.63,259,75,128,744.71,31.14,99.60,569.67,21.82,11520
sensor_fusion,8,16,8,64.78,13.63,2.65,1270,562,128,5.0,40.66,14.30,2.60,523,147,128,744.71,31.26,226.72,569.67,21.82,11520
sensor_fusion,8,16,16,64.78,12.10,2.66,1270,562,128,5.0,69.33,21.13,2.71,1019,291,128,744.71,45.59,506.32,569.67,21.82,11520
sensor_fusion,8,64,1,209.82,24.84,2.70,5206,2290,128,9.8,14.02,4.90,2.64,69,21,128,744.71,13.67,13.67,569.67,21.82,11520
sensor_fusion,8,64,2,209.82,25.02,2.71,5206,2290,128,9.9,18.59,6.66,2.66,135,39,128,744.71,24.52,38.19,569.67,21.82,11520
sensor_fusion,8,64,4,209.82,24.96,2.70,5206,2290,128,9.9,26.94,8.74,2.63,259,75,128,744.71,31.14,99.60,569.67,21.82,11520
sensor_fusion,8,64,8,209.82,24.93,2.70,5206,2290,128,9.9,40.66,14.30,2.60,523,147,128,744.71,31.26,226.72,569.67,21.82,11520
